Klassenname,Beschreibung,Studio Name,Standort,Kategorie,Datum,URL_E,Zeit
,"Yoga auf dem Boden war gestern. Wir praktizieren Yoga schwebend zwischen Himmel und Erde. Die Übungen im Tuch haben eine harmonisierende Wirkung auf Körper, Geist und Seele und sind ein effektiver Stresslöser. In unseren Kursen steht die Entspannung im Vordergrund, zeitgleich trainieren wir aber auch unsere Flexibilität, fördern den Kraftaufbau und lösen wir unserer Faszien, was zum allgemeinen Wohlbefinden beiträgt und die Beweglichkeit fördert. Diese Art von Yoga entlastet die Wirbelsäule und eignet sich besonders gut bei Schmerzen in den Gelenken und im unteren Rücken. Komm vorbei und schwebe mit uns! Wir freuen uns auf Dich!",UpsideDown Studio Friedrichsdorf,"Schnupperstunde ""Aerial"" ",Yoga,"Samstag, 27. Januar 2024",https://www.eversports.de/e/class/KWSg4IB,10:00 - 11:15
,"Wow, jetzt besuchst du schon die Advanced Klasse! In dieser Klasse lernst Du fortgeschrittene Tricks und Kombinationen daraus. Wir werden nach einem knackigen Warmup zusammen neue Tricks miteinander erarbeiten und mit alten Tricks verbinden, um sie zu festigen. Außerdem lernst Du neue Spin- und Floorworkombinationen, die du so nicht nicht gemacht hast. Voraussetzung: abgeschlossenes Poledance Level 6 oder Du solltest Aerial Invert, Shouldermount, ReverseClimb, sowie einarmiger Spins gut beherrschen",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Samstag, 27. Januar 2024",https://www.eversports.de/e/class/-kkQvCl,11:30 - 12:45
,"Es ist einfach viel zu kalt für Deine PoleShorts, aber Du möchtest trotzdem Tanzen? Oder Hast Du einfach mal kein Lust auf komplizierte Kombis oder Kletteraction? Dann schnapp Dir deine Lieblingejogginghose, dicke Socken und einen gemütlichen Pulli und komm in den Low Flow Kurs. Wir lernen gemeinsam in jeder Eihneit eine kleine Choreo mit vielen Bodenelementen und Drehungen um die Pole ohne Schnickschnack aber mit viel Spaß! Vorkenntnisse brauchst du keine, mach einfach mit und finde Deinen Flow! (Voraussetzungen: keine)",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/class/0FbwfdJ,10:00 - 11:15
,"Du hast schon viel von Poledance gehört und möchtest auch endlich damit beginnen bist aber noch nicht Volljährig? Dann ist dieser Einsteigerkurs genau das Richtige. Hier findest Du Gleichgesinnte Teens und übst viele verschiedene Basicübungen an der Stange. Tänzerisch und mit viel Spaß baust Du Kraft und Beweglichkeit für die ersten Spins, Tricks und Kombinationen auf. Du lernst, die einzelnen Moves fließend aneinanderzufügen und die ersten Tricks an der Pole sind auch schon dabei. Voraussetzungen: keine",UpsideDown Studio Friedrichsdorf,"Schnupperstunde ""Poledance"" ",Poledance,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/CGaHd1S,16:45 - 18:00
,"In diesem Luftakrobatik-Kurs für Kinder ab 7 Jahren unterrichten wir tänzerische und akrobatische Elemente im Luftring (Aerial Hoop), im Tuch (Aerial Hammock und Silks) und an der Stange (Pole Dance). Das Training wird durch Turnen am Boden, unterstützendes Krafttraining und Dehnübungen und ergänzt. Alle Bewegungen werden altersgerecht vermittelt. Tricks an den Geräten, Technik-Training, Bewegungsspiele und Partnerübungen wechseln sich ab – der Spaß der Kinder an der Bewegung und dem Turnen steht dabei im Vordergrund. Sicherheit und ein gesundheitsförderndes Training für Kinder sind uns sehr wichtig!",UpsideDown Studio Friedrichsdorf,Schnupperstunde KidsKurs,Kindersport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/w_1M42_,16:00 - 17:00
,"Du möchtest Dich fühlen, wie ein Zirkusartist und durch Luft schweben? Du möchtest Dich grazil bewegen und dabei Kraft und Beweglichkeit aufbauen und Dein Körpergefühl verbessern? Dann bist Du hier richtig! In diesem Kurs lernst Du alle Beginner-Moves neu zu kombinieren. Ergänzt wird das bereits Erlernte durch immer wieder neue Elemente. Im Fokus stehen hier das Üben von sauberen Übergängen und das Perfektionieren des bereits Erlernten. Voraussetzung: keine",UpsideDown Studio Friedrichsdorf,"Schnupperstunde ""Aerial"" ",Aerial Hoop,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/class/AcluLrU,12:45 - 14:00
,"Wow, jetzt besuchst du schon die Intermediate Klasse! In dieser Klasse lernst Du neue Tricks und Kombinationen daraus. Wir werden nach einem knackigen Warmup zusammen neue Tricks miteinander erarbeiten und mit alten Tricks verbinden, um sie zu festigen. Außerdem lernst Du auch neue Spin- und Floorworkombinationen, die du so nicht nicht gemacht hast. Voraussetzung: abgeschlossenes Poledance Level 3 oder Du solltest sauber Inverten können, sowie den Inside- und OutsideLeghang gut beherrschen.",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/szA1C5o,18:00 - 19:15
,"In diesem Luftakrobatik-Kurs für Kinder ab 7 Jahren unterrichten wir tänzerische und akrobatische Elemente im Luftring (Aerial Hoop), im Tuch (Aerial Hammock und Silks) und an der Stange (Pole Dance). Das Training wird durch Turnen am Boden, unterstützendes Krafttraining und Dehnübungen und ergänzt. Alle Bewegungen werden altersgerecht vermittelt. Tricks an den Geräten, Technik-Training, Bewegungsspiele und Partnerübungen wechseln sich ab – der Spaß der Kinder an der Bewegung und dem Turnen steht dabei im Vordergrund. Sicherheit und ein gesundheitsförderndes Training für Kinder sind uns sehr wichtig!",UpsideDown Studio Friedrichsdorf,Schnupperstunde KidsKurs,Kindersport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/_Q_zf6p,17:00 - 18:00
,"Du hast bereits erste Erfahrungen an der Pole gesammelt und möchtest jetzt endlich mal an die selbstdrehende Stange? Dann bist Du hier genau Richtig! In diesem Kurs lernst du neue Bewegungen und Kombinationen an der SpinningPole. (Voraussetzung: abgeschlossenes Level 1, klettern, PoleSit)",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/bN5CN0A,19:00 - 20:15
,"Wow, jetzt besuchst du schon die Intermediate Klasse! In dieser Klasse lernst Du neue Tricks und Kombinationen daraus. Wir werden nach einem knackigen Warmup zusammen neue Tricks miteinander erarbeiten und mit alten Tricks verbinden, um sie zu festigen. Außerdem lernst Du auch neue Spin- und Floorworkombinationen, die du so nicht nicht gemacht hast. Voraussetzung: abgeschlossenes Poledance Level 3 oder Du solltest sauber Inverten können, sowie den Inside- und OutsideLeghang gut beherrschen.",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/7-BmkRb,19:15 - 20:30
,"In diesem Kurs mit Muskelkater Garantie kommen wir so richtig ins Schwitzen. Auch wenn Du kein PoleDance machst, ist der Kurs genau das Richitige für Dich, denn die Kräftigung steht hier im Vordergrund. Wir machen Übungen an verschiedenen Übungen mit und ohne Stange, um all jene Muskeln zu trainieren, die Poledance dann leichter, schöner und fließender machen. Die Schwierigkeit der Übungen wird an Jeden individuell angepasst. Geeignet für alle, die Muskeln aufbauen und ihre Körperspannung und -haltung verbessern möchten! Keine Voraussetzungen!",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/gHMmgO-,18:15 - 19:15
,"In diesem Workshop werden die beiden Elemente Pole- und Chairdance verbunden. Wir bringen Dich auf völlig neue Ideen! Du wirst staunen, was man alles mit einem Stuhl und der Polel machen kann. Du wirst nach dieser Erfahrung nie wieder normal von einem Stuhl aufstehen oder dich hinsetzen. Vorraussetzung: abgeschlossenes Poledance Level 1",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/TzG95I8,19:15 - 20:30
,"Hier könnt ihr in unsere Poledancekurse unverbindlich hineinschnuppern! Entdecke Poledance für Dich und mach deine ersten Spins, Tricks oder Tanzbewegungen an der Stange. In dieser Einheit bekommst du einen kleinen Eindruck von den Kursen und wir hoffen, Dich da schon mit dem PoleFieber anstecken zu können. Poledance ist für jede Frau (gerne auch Mann :-)) geeignet, egal mit welchem Körperbau oder Fitnesslevel. Anfänger sind erwünscht! Man wird stärker und flexibler, lernt zu tanzen und vor allem macht es ganz viel Spaß! Achtung: Poledance macht süchtig!",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/2D8wmQz,19:30 - 20:30
,"Du hast schon viel von Poledance gehört und möchtest auch endlich damit beginnen bist aber noch nicht Volljährig? Dann ist dieser Einsteigerkurs genau das Richtige. Hier findest Du Gleichgesinnte Teens und übst viele verschiedene Basicübungen an der Stange. Tänzerisch und mit viel Spaß baust Du Kraft und Beweglichkeit für die ersten Spins, Tricks und Kombinationen auf. Du lernst, die einzelnen Moves fließend aneinanderzufügen und die ersten Tricks an der Pole sind auch schon dabei. Voraussetzungen: keine",UpsideDown Studio Friedrichsdorf,"Schnupperstunde ""Poledance"" ",Poledance,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/CGaHd1S,16:45 - 18:00
,"Wow, jetzt besuchst du schon die Intermediate Klasse! In dieser Klasse lernst Du neue Tricks und Kombinationen daraus. Wir werden nach einem knackigen Warmup zusammen neue Tricks miteinander erarbeiten und mit alten Tricks verbinden, um sie zu festigen. Außerdem lernst Du auch neue Spin- und Floorworkombinationen, die du so nicht nicht gemacht hast. Voraussetzung: abgeschlossenes Poledance Level 3 oder Du solltest sauber Inverten können, sowie den Inside- und OutsideLeghang gut beherrschen.",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/szA1C5o,18:00 - 19:15
,"In diesem Luftakrobatik-Kurs für Kinder ab 7 Jahren unterrichten wir tänzerische und akrobatische Elemente im Luftring (Aerial Hoop), im Tuch (Aerial Hammock und Silks) und an der Stange (Pole Dance). Das Training wird durch Turnen am Boden, unterstützendes Krafttraining und Dehnübungen und ergänzt. Alle Bewegungen werden altersgerecht vermittelt. Tricks an den Geräten, Technik-Training, Bewegungsspiele und Partnerübungen wechseln sich ab – der Spaß der Kinder an der Bewegung und dem Turnen steht dabei im Vordergrund. Sicherheit und ein gesundheitsförderndes Training für Kinder sind uns sehr wichtig!",UpsideDown Studio Friedrichsdorf,Schnupperstunde KidsKurs,Kindersport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/w_1M42_,16:00 - 17:00
,"In diesem Luftakrobatik-Kurs für Kinder ab 7 Jahren unterrichten wir tänzerische und akrobatische Elemente im Luftring (Aerial Hoop), im Tuch (Aerial Hammock und Silks) und an der Stange (Pole Dance). Das Training wird durch Turnen am Boden, unterstützendes Krafttraining und Dehnübungen und ergänzt. Alle Bewegungen werden altersgerecht vermittelt. Tricks an den Geräten, Technik-Training, Bewegungsspiele und Partnerübungen wechseln sich ab – der Spaß der Kinder an der Bewegung und dem Turnen steht dabei im Vordergrund. Sicherheit und ein gesundheitsförderndes Training für Kinder sind uns sehr wichtig!",UpsideDown Studio Friedrichsdorf,Schnupperstunde KidsKurs,Kindersport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/_Q_zf6p,17:00 - 18:00
,"Du hast bereits erste Erfahrungen an der Pole gesammelt und möchtest jetzt endlich mal an die selbstdrehende Stange? Dann bist Du hier genau Richtig! In diesem Kurs lernst du neue Bewegungen und Kombinationen an der SpinningPole. (Voraussetzung: abgeschlossenes Level 1, klettern, PoleSit)",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/bN5CN0A,19:00 - 20:15
,"Wow, jetzt besuchst du schon die Intermediate Klasse! In dieser Klasse lernst Du neue Tricks und Kombinationen daraus. Wir werden nach einem knackigen Warmup zusammen neue Tricks miteinander erarbeiten und mit alten Tricks verbinden, um sie zu festigen. Außerdem lernst Du auch neue Spin- und Floorworkombinationen, die du so nicht nicht gemacht hast. Voraussetzung: abgeschlossenes Poledance Level 3 oder Du solltest sauber Inverten können, sowie den Inside- und OutsideLeghang gut beherrschen.",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/7-BmkRb,19:15 - 20:30
,"In diesem Kurs mit Muskelkater Garantie kommen wir so richtig ins Schwitzen. Auch wenn Du kein PoleDance machst, ist der Kurs genau das Richitige für Dich, denn die Kräftigung steht hier im Vordergrund. Wir machen Übungen an verschiedenen Übungen mit und ohne Stange, um all jene Muskeln zu trainieren, die Poledance dann leichter, schöner und fließender machen. Die Schwierigkeit der Übungen wird an Jeden individuell angepasst. Geeignet für alle, die Muskeln aufbauen und ihre Körperspannung und -haltung verbessern möchten! Keine Voraussetzungen!",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/gHMmgO-,18:15 - 19:15
,"In diesem Workshop werden die beiden Elemente Pole- und Chairdance verbunden. Wir bringen Dich auf völlig neue Ideen! Du wirst staunen, was man alles mit einem Stuhl und der Polel machen kann. Du wirst nach dieser Erfahrung nie wieder normal von einem Stuhl aufstehen oder dich hinsetzen. Vorraussetzung: abgeschlossenes Poledance Level 1",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/TzG95I8,19:15 - 20:30
,"Hier könnt ihr in unsere Poledancekurse unverbindlich hineinschnuppern! Entdecke Poledance für Dich und mach deine ersten Spins, Tricks oder Tanzbewegungen an der Stange. In dieser Einheit bekommst du einen kleinen Eindruck von den Kursen und wir hoffen, Dich da schon mit dem PoleFieber anstecken zu können. Poledance ist für jede Frau (gerne auch Mann :-)) geeignet, egal mit welchem Körperbau oder Fitnesslevel. Anfänger sind erwünscht! Man wird stärker und flexibler, lernt zu tanzen und vor allem macht es ganz viel Spaß! Achtung: Poledance macht süchtig!",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/2D8wmQz,19:30 - 20:30
,"Yoga auf dem Boden war gestern. Wir praktizieren Yoga schwebend zwischen Himmel und Erde. Die Übungen im Tuch haben eine harmonisierende Wirkung auf Körper, Geist und Seele und sind ein effektiver Stresslöser. In unseren Kursen steht die Entspannung im Vordergrund, zeitgleich trainieren wir aber auch unsere Flexibilität, fördern den Kraftaufbau und lösen wir unserer Faszien, was zum allgemeinen Wohlbefinden beiträgt und die Beweglichkeit fördert. Diese Art von Yoga entlastet die Wirbelsäule und eignet sich besonders gut bei Schmerzen in den Gelenken und im unteren Rücken. Komm vorbei und schwebe mit uns! Wir freuen uns auf Dich!",UpsideDown Studio Friedrichsdorf,"Schnupperstunde ""Aerial"" ",Yoga,"Samstag, 27. Januar 2024",https://www.eversports.de/e/class/KWSg4IB,10:00 - 11:15
,"Wow, jetzt besuchst du schon die Advanced Klasse! In dieser Klasse lernst Du fortgeschrittene Tricks und Kombinationen daraus. Wir werden nach einem knackigen Warmup zusammen neue Tricks miteinander erarbeiten und mit alten Tricks verbinden, um sie zu festigen. Außerdem lernst Du neue Spin- und Floorworkombinationen, die du so nicht nicht gemacht hast. Voraussetzung: abgeschlossenes Poledance Level 6 oder Du solltest Aerial Invert, Shouldermount, ReverseClimb, sowie einarmiger Spins gut beherrschen",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Samstag, 27. Januar 2024",https://www.eversports.de/e/class/-kkQvCl,11:30 - 12:45
,"Es ist einfach viel zu kalt für Deine PoleShorts, aber Du möchtest trotzdem Tanzen? Oder Hast Du einfach mal kein Lust auf komplizierte Kombis oder Kletteraction? Dann schnapp Dir deine Lieblingejogginghose, dicke Socken und einen gemütlichen Pulli und komm in den Low Flow Kurs. Wir lernen gemeinsam in jeder Eihneit eine kleine Choreo mit vielen Bodenelementen und Drehungen um die Pole ohne Schnickschnack aber mit viel Spaß! Vorkenntnisse brauchst du keine, mach einfach mit und finde Deinen Flow! (Voraussetzungen: keine)",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/class/0FbwfdJ,10:00 - 11:15
,"Du möchtest Dich fühlen, wie ein Zirkusartist und durch Luft schweben? Du möchtest Dich grazil bewegen und dabei Kraft und Beweglichkeit aufbauen und Dein Körpergefühl verbessern? Dann bist Du hier richtig! In diesem Kurs lernst Du alle Beginner-Moves neu zu kombinieren. Ergänzt wird das bereits Erlernte durch immer wieder neue Elemente. Im Fokus stehen hier das Üben von sauberen Übergängen und das Perfektionieren des bereits Erlernten. Voraussetzung: keine",UpsideDown Studio Friedrichsdorf,"Schnupperstunde ""Aerial"" ",Aerial Hoop,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/class/AcluLrU,12:45 - 14:00
,"Dieses Level ist für alle geeignet die an unserem Einsteigerkurs teilgenommen haben oder schon woanders Erfahrung an der Pole sammeln konnten. Was du hier auf jeden Fall beherrschen solltest: Einfach Spins wie Step around, Pirouette, Fireman, Back & Front Hook zudem einen Basic Climb und Cross knee seat, Martini Girl, Ornament, Cruxifix, Butterflyhandstand, Forearm Stand an die Pole. Eleganz, Kraft, Beweglichkeit und ein besseres Körpergefühl: Mit Pole Fitness stärkst du nicht nur deine Muskeln, sondern auch dein Selbstbewusstsein. Durch den Besuch unserer Kurse wirst du mit der Zeit an Kraft gewinnen und fitter werden. Der Spaß dabei steht natürlich immer im Vordergrund. Und damit deine Erfolge mit deiner Kraft wachsen bieten wir verschiedene Kursstufen an, die dich deinem persönlichen Ziel näher bringen. In diesem Level bauen wir auf den erlernten Grundlagen aus dem  Einsteigerkur sowie Pole Fitness All about Basics 1 auf und arbeiten an neuen Tricks und kurzen Kombinationen mit denen auch zunehmend deine Kraft und Ausdauer wächst. Hinweis zur Bekleidung: Am besten kurze Hose und T-Shirt/Sport BH. Wasser und Handtuch einpacken und vorher nicht eincremen",Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Dance,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/jI6evzf,17:00 - 18:00
,"Eleganz, Kraft, Beweglichkeit und ein besseres Körpergefühl: Mit Pole Fitness stärkst du nicht nur deine Muskeln, sondern auch dein Selbstbewusstsein. Durch den Besuch unserer Kurse wirst du mit der Zeit an Kraft gewinnen und fitter werden. Der Spaß dabei steht natürlich immer im Vordergrund. Und damit deine Erfolge mit deiner Kraft wachsen bieten wir verschiedene Kursstufen an, die dich deinem persönlichen Ziel näher bringen. Dieses Level ist für alle geeignet die bereits Pole Fitness gemacht haben und eine gewisse Ausdauer sowie eine gute Basis an Kraft haben um mit dem eigenen Körpergewicht zu arbeiten. Was du hier auf jeden Fall beherrschen solltest: Straddle Invert, Inside - &Outside Leghang, Butterfly, Jasmine, Genie, Ornament, Tinkerbell. Hinweis zur Bekleidung: Am besten kurze Hose und T-Shirt/Sport BH. Wasser und Handtuch einpacken und vorher nicht eincremen",Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Dance,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/SbbzXGb,18:15 - 19:15
,"Eleganz, Kraft, Beweglichkeit und ein besseres Körpergefühl: Mit Pole Fitness stärkst du nicht nur deine Muskeln, sondern auch dein Selbstbewusstsein. Durch den Besuch unserer Kurse wirst du mit der Zeit an Kraft gewinnen und fitter werden. Der Spaß dabei steht natürlich immer im Vordergrund. Und damit deine Erfolge mit deiner Kraft wachsen bieten wir verschiedene Kursstufen an, die dich deinem persönlichen Ziel näher bringen. Dieses Level ist für alle geeignet die bereits Pole Fitness gemacht haben und eine gewisse Ausdauer sowie eine gute Basis an Kraft haben um mit dem eigenen Körpergewicht zu arbeiten. Was du hier auf jeden Fall beherrschen solltest: Straddle Invert, Inside- & Outside Leghang, Brassmonkey, Butterfly, Ayesha, Cupid, Seahorse, Superman, Shouldermount & -dismount. Hinweis zur Bekleidung: Am besten kurze Hose und T-Shirt/Sport BH. Wasser und Handtuch einpacken und vorher nicht eincremen",Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Dance,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/AGE7UO2,19:30 - 21:00
,"Hinweis zur Bekleidung: Lange bequeme Hose/Leggings und T-Shirt mit Ärmeln! Dazu Wasser und Handtuch einpacken :) Schwerelos Yoga im Tuch zu üben. Egal ob für Yoga geübte oder totale Neulinge, diese zusätzlich Dimension schafft Flexibilität, Leichtigkeit, Kraft, Freude und Entspannung. Dabei ist Aerial Yoga, wie Yoga auf der Matte, mal ruhig, restorativ und entspannend – kann aber auch verspielt, dynamisch und kraftvoll sein. Es geht um Kontrolle abgeben und viel um Vertrauen, mal die Perspektive wechseln und den Mut haben seine eigenen Grenzen zu überschreiten. Aerial Yoga ist eine bunte Mischung aus allem mit jeder Menge Spaß und Freude. Aerial Yoga hat eine positive Wirkung auf das Nerven und Lymphsystem und eine harmonisierende Wirkung auf Körper und Geist. Es werden alle Muskelgruppen und auch die Tiefenmuskulatur angesprochen. Positiver Nebeneffekt: Im Tuch gibt es die Faszienmassage gratis dazu und das Gleichgewicht und das Gefühl für die Schwerkraft wird ebenfalls geschult.",Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Yoga,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/qjSes-u,19:30 - 21:00
,​Beim Open Training hast du die Gelegenheit selbst an neue Tricks zu arbeiten oder auch um alte zu wiederholen. Du arbeitest eigenständig an Tricks und Abfolgen die du lernen oder wiederholen möchtest. Es gilt selbst organisiertes Training.,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Polesport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/0AvbFI7,18:00 - 19:15
,"Hier lernst du eine andere Art von Luftakrobatik bei der man sich in einem Ring bewegt. Der Spaß dabei steht natürlich immer im Vordergrund. Und damit deine Erfolge mit deiner Kraft wachsen bieten wir verschiedene Kursstufen an, die dich deinem persönlichen Ziel näher bringen. Mittelstufe: Dieses Level bringt dich etwas höher an die obere Kannte des Hoops und wir verbinden zunehmend mehr Figuren und arbeiten auch an Drops. Was du hier auf jeden Fall beherrschen solltest: Alle Basiselemente aus dem Anfängerlevel, Straddle Invert unter dem Hoop, verschiedene Wege in den Hoop, Cradle, Delilah, Birdie, Half Split am Hoop, Shoulderstand & Variationen sowie Elemente aus der Gazellefamilie. Hinweis zur Bekleidung: Bitte Leggins und T-Shirt anziehen, mit kurzer Hose kann die Haut sehr gereizt werden und es entstehen Verbrennungen. Dazu Handtuch und Wasser einpacken und vor dem Training nicht eincremen.",Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Dance,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/qChLgvc,18:15 - 19:15
,"Hinweis: Bitte bringe deine eigene Matte, kleines Handtuch, weiße Socken und was zu Trinken mit. Steigere deine Flexibilität um anspruchsvollere Pole-Moves zu lernen oder einfach um rundum zu entspannen. Finde mit kontinuierlichem Stretching das fehlende Bindeglied zu deinem Training und schützte deine Muskeln vor Verletzungen und richtet deinen Körper neu aus. Mit diesem 60-Minütigen Kurs bereitest du dich zudem ideal auf den nachfolgenden Aerial Kurs vor :) Aber auch im Anschluss an einen Kurs ist Stretching immer gut",Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Dance,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/LLIo3Mr,18:15 - 19:15
,"Hier lernst du eine andere Art von Luftakrobatik bei der man sich in einem Ring bewegt. Der Spaß dabei steht natürlich immer im Vordergrund. Und damit deine Erfolge mit deiner Kraft wachsen bieten wir verschiedene Kursstufen an, die dich deinem persönlichen Ziel näher bringen. Anfänger: Dieses Level ist für alle die an unserem Einsteigerkurs teilgenommen haben oder bereits Erfahrung an der Pole haben und nun auch Aerial Hoop probieren wollen. Dies genau der richtige Kurs um neue Bewegungen zu lernen. Zudem sind die Stunden auch perfekt um an deiner Kraft, Ausdauer und Flexibilität zu arbeiten. Also eine sehr gute Möglichkeit um dein Können zu perfektionieren. Was du bereits können solltest: Birdie, Cradle, Star on the Bar, Delilah, Side Amazon, Man in the Moon ​Hinweis zur Bekleidung: Bitte Leggins und T-Shirt anziehen, mit kurzer Hose kann die Haut sehr gereizt werden und es entstehen Verbrennungen. Dazu Handtuch und Wasser einpacken.",Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Dance,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/AK6NsYN,19:30 - 20:30
,"Vergesst alles, was die Woche nicht geklappt hat, ob ihr guten oder schlechten Grip hattet und Flow it Out! Dieser Kurs ist die perfekte Ergänzung zu Pole Fitness. Jedoch geht es vielmehr darum, Bewegungen elegant zu verbinden und mit der Musik zu tanzen. Hier lernt ihr Tanzgrundlagen und Bewegungen, die dann an der Pole zu einem schönen Flow verbunden werden. Im Fokus steht jedoch einfach Spaß zu haben. Du solltest für die Teilnahme bereits Erfahrung an der Pole haben oder unseren Einsteigerkurs besucht haben. Hinweis zur Bekleidung: Heels wer mag, bitte unbedingt Knieschoner, Kniestrümpfe, lange und kurze Hose und T-Shirt mitbringen. Dazu Handtuch und Wasser einpacken und vor dem Training nicht eincremen.",Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Poledance,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/wUv9OUg,19:30 - 21:00
,"In dieser Stunde wird besonders an Basis Elementen gearbeitet um deine Technik an der Pole zu festigen und auch um deine Bewegungen an der Pole fließender zu machen. Klingt langweilig? Lass dich da mal nicht täuschen ... Hast du je bewundert wie einfach Bewegungen trotzdem absolut faszinierend aussehen? Die Antwort ist: Immer und immer wieder üben bis du sie mit geschlossenen Augen tun kannst. Und genau dafür ist diese Stunde gedacht. Es gibt immer eine Möglichkeit die Bewegung noch sauberer auszuführen, sie einen ticken schwieriger zu gestalten oder auch einfach nur an den Punkt zu kommen wo du deinen eigenen Stil mit einbringst. Du wirst merken je besser die Basis sitzt umso einfacher ist es auch auf fortgeschrittenem Level neues zu lernen. Zudem ... Basis Elemente sind nicht nur einfach Spins oder Pole Seats, auch der Outside oder Insideleghang wird dir in dieser Stunde begegnen. Ähnlich wie bei den Pole Fitness Shapes Kursen werden dir auch hier immer mal wieder unterschiedliche Schwierigkeitsstufen für die gleiche Sache dabei sein. Dieses Level ist für alle offen, vorausgesetzt der Einsteigerkurs ist abgeschlossen oder es besteht bereits Erfahrung an der Pole. Du hast schon mal woanders Pole Fitness probiert? Dann kannst du natürlich auch direkt ohne Einsteigerkurs einsteigen. Was du hier auf jeden Fall beherrschen solltest: Einfach Spins wie Step around, Pirouette, Fireman, Back & Front Hook zudem einen Basic Climb und Cross Knee-Seat Hinweis zur Bekleidung: Am besten kurze Hose und T-Shirt/Sport BH. Wasser und Handtuch einpacken und vorher nicht eincremen",Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",Polesport,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/pkGHPow,17:30 - 18:30
