PoleStudio_Name,Adresse,PLZ,Stadt,Straße,Buttons,Pole Studio Beschreibung,Ratingscore,Reviewanzahl,Rating Faktoren,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Bildergalerie,Created Date,Updated Date
,,,,,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']",JulianePoledanceZum StundenplanMariePoledanceZum StundenplanAnnekePoledanceOnline KlasseZum StundenplanAnnikaPoledanceOnline KlasseZum StundenplanKatharinaPoledanceOnline KlasseZum StundenplanKatrinPoledanceOnline KlasseZum StundenplanLucaPoledanceOnline KlasseZum StundenplanNicolePoledanceOnline KlasseZum StundenplanGuest TeacherZum StundenplanSabrinaPoledanceZum Stundenplan,,,[], info@vertical-studio.de,https://www.vertical-studio.de/,+49 15120213144,https://www.eversports.de/s/vertical-pole-aerial-dance/team,"['Poledance', 'Poledance', 'Poledance', 'Online Klasse', 'Poledance', 'Online Klasse', 'Poledance', 'Online Klasse', 'Poledance', 'Online Klasse', 'Poledance', 'Online Klasse', 'Poledance', 'Online Klasse', 'Poledance']",Zum Stundenplan,['https://files.eversports.com/0b1a20f3-30a8-436b-8a06-f1287ded4827/climb-juliane-eversportsjpg-x-large.webp'],2024-01-24 19:12:58,2024-01-24 19:12:58
,"['Schaufenberger Straße 61 ', ' 52477 Alsdorf']",52477,Alsdorf,Schaufenberger Straße 61 ,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Pura ist ein Yoga , Stretching , Poledance und Aerial Hoop Studio in Alsdorf.Wir bieten unsere Kurse unter professioneller Anleitung an.Ob Probestunden,Einzeltickets,10er Karten, Abos, Privatstunden, Workshops, Pole Parties, Junggesellinnen Abschiede oder Fotoshootings, wir haben für jeden das richtige Angebot.Wir bieten ein modernes und attraktives Studio mit zwei Kursräumen und auch für das passende Equipment der jeweiligen Kurse ist gesorgt.Du brauchst also nichts weiter als vorbei zu kommen und dich von unserer Leidenschaft anstecken zu lassen.Wir sind überzeugt, dass du durch das Training in unserem Studio ein erhöhtes Selbstbewusstsein, eine verbesserte körperliche Fitness und eine größere mentale Stärke erreichen wirst.",5,77 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 5.0']", info@pura-studio.de,http://www.pura-studio.de,+49 1772836563,https://www.eversports.de/s/Pura-Studio,"['Yoga', 'Poledance', 'Yoga', 'Poledance', 'Yoga', 'Poledance', 'Stretching', 'Yoga', 'Aerial Hoop', '77 Rezensionen', 'Yoga', 'Poledance', 'Stretching', 'Aerial Hoop']",1 Angebot für Neukund:innen,"['https://files.eversports.com/0aed1787-d224-4868-b032-4f0a1ffc8ff2/photo-2021-12-12-11-50-04jpg-x-large.webp', 'https://files.eversports.com/c4791001-54a7-4e3a-8298-4b4004a01a98/dsc05232jpg-small.webp', 'https://files.eversports.com/790d9ec7-f9e8-48d7-b599-6cc04492a01f/dsc05284jpg-small.webp', 'https://files.eversports.com/326dd8e6-4895-4bc9-a6bd-12ea9e338e87/dsc06596jpg-small.webp', 'https://files.eversports.com/6cf66dac-4fad-41af-a186-72b4b73a3a1d/dsc06530jpg-small.webp']",2024-01-24 19:13:19,2024-01-24 19:13:19
,,,,,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']",MaikeYogaPoledance+ 3Zum StundenplanTanjaYogaPoledance+ 3Zum StundenplanJulia Q.YogaPoledanceZum StundenplanAngelikaStretchingYogaZum StundenplanKatharinaAerial HoopZum StundenplanJulia M.PoledanceStretchingZum StundenplanTamaraPoledanceStretchingZum StundenplanNadineStretchingPoledance+ 1Zum Stundenplan,,,[], info@pura-studio.de,http://www.pura-studio.de,+49 1772836563,https://www.eversports.de/s/Pura-Studio/team,"['Yoga', 'Poledance', 'Yoga', 'Poledance', 'Yoga', 'Poledance', 'Stretching', 'Yoga', 'Aerial Hoop', 'Poledance', 'Stretching', 'Poledance', 'Stretching', 'Stretching', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/0aed1787-d224-4868-b032-4f0a1ffc8ff2/photo-2021-12-12-11-50-04jpg-x-large.webp', 'https://files.eversports.com/c4791001-54a7-4e3a-8298-4b4004a01a98/dsc05232jpg-small.webp', 'https://files.eversports.com/790d9ec7-f9e8-48d7-b599-6cc04492a01f/dsc05284jpg-small.webp', 'https://files.eversports.com/326dd8e6-4895-4bc9-a6bd-12ea9e338e87/dsc06596jpg-small.webp', 'https://files.eversports.com/6cf66dac-4fad-41af-a186-72b4b73a3a1d/dsc06530jpg-small.webp']",2024-01-24 19:16:16,2024-01-24 19:16:16
,"['Mendelssohnstraße 15B ', ' 22761 Hamburg']",22761,Hamburg,Mendelssohnstraße 15B ,"['Übersicht', 'Klassen', 'Workshops', 'Events', 'Videos', 'Preise', 'Team']","DEIN STUDIO FÜR POLE & LUFTAKROBATIK IN ALTONAWir bieten dir kompetenten und abwechslungsreichen Unterricht in Hamburgs Westen.Die lichtdurchfluteten Räume mit knapp 300 qm und den bis 4,30 Meter hohen Poles bieten vielfältige Entfaltungsmöglichkeiten - egal ob du erst startest oder bereits fortgeschrittener bist.","4,9",115 Rezensionen,"['Raumqualität: 4.9', 'Freundlichkeit & Service: 4.9', 'Sauberkeit: 4.9', 'Atmosphäre: 4.9', 'Preis-Leistung: 4.8']", team@nordpole-hamburg.de,http://nordpole.de,+49 15252414066,https://www.eversports.de/s/Nordpole,"['Poledance', 'Stretching', 'Poledance', 'Tanzen', 'Tanzen', 'Fitness', 'Tanzen', 'Fitness', 'Poledance', '115 Rezensionen', 'Fitness', 'Tanzen', 'Poledance', 'Stretching', 'Floorwork', 'Aerial Dance']",1 Angebot für Neukund:innen,"['https://files.eversports.com/48152c51-ac9d-44e8-947d-eb43b1006c48/_dsc0005_webjpg-x-large.webp', 'https://files.eversports.com/6606e68b-eb77-4b9c-b686-9dc2fafb6188/dsc_0010_web-2jpg-small.webp', 'https://files.eversports.com/edf14dee-8a73-4a4a-b636-c3c7cfcb28c0/dsc_0057_webjpg-small.webp', 'https://files.eversports.com/6b913607-ea2c-43e5-b394-413758dbdc90/trainerbildernordpole_pole-final-p2-web-7jpg-small.webp', 'https://files.eversports.com/339ff845-7162-454e-866b-de70f3cb0f62/_dsc0087_webjpeg-small.webp']",2024-01-24 19:16:37,2024-01-24 19:16:37
,,,,,[],,,,[],,,,https://www.eversports.de/s/Nordpole/videos,[],,[],2024-01-24 19:20:01,2024-01-24 19:20:01
,,,,,"['Übersicht', 'Klassen', 'Workshops', 'Events', 'Videos', 'Preise', 'Team']",HettiPoledanceStretchingZum StundenplanJenniPoledanceTanzen+ 2Zum StundenplanIsabelTanzenFitness+ 4Zum StundenplanJosiTanzenFitness+ 4Zum StundenplanViviPoledanceZum StundenplanNinaFitnessTanzen+ 2Zum StundenplanBahatiPoledanceTanzenZum StundenplanJasmineTanzenPoledanceZum StundenplanVanessa B.FitnessTanzen+ 4Zum StundenplanMariyamaPoledanceTanzen+ 4Zum StundenplanMartheFitnessTanzen+ 4Zum StundenplanJackyPoledanceTanzen+ 4Zum StundenplanLenaPoledanceStretching+ 4Zum StundenplanNadjaAerial DanceFitness+ 1Zum StundenplanMareenFloorworkPoledance+ 1Zum StundenplanChrissyTanzenPoledance+ 4Zum StundenplanTomkeTanzenFloorwork+ 4Zum StundenplanAnjaPoledanceTanzen+ 2Zum StundenplanDominikaZum StundenplanDominiqueFitnessTanzen+ 4Zum StundenplanDörteTanzenFitness+ 4Zum StundenplanKathiFitnessTanzen+ 4Zum StundenplanLindaFitnessTanzenZum StundenplanLuisaTanzenStretching+ 4Zum StundenplanMalwinaFitnessTanzen+ 4Zum StundenplanMareikePoledanceStretching+ 1Zum StundenplanNarumiTanzenPoledance+ 4Zum Stundenplan,,,[], team@nordpole-hamburg.de,http://nordpole.de,+49 15252414066,https://www.eversports.de/s/Nordpole/team,"['Poledance', 'Stretching', 'Poledance', 'Tanzen', 'Tanzen', 'Fitness', 'Tanzen', 'Fitness', 'Poledance', 'Fitness', 'Tanzen', 'Poledance', 'Tanzen', 'Tanzen', 'Poledance', 'Fitness', 'Tanzen', 'Poledance', 'Tanzen', 'Fitness', 'Tanzen', 'Poledance', 'Tanzen', 'Poledance', 'Stretching', 'Aerial Dance', 'Fitness', 'Floorwork', 'Poledance', 'Tanzen', 'Poledance', 'Tanzen', 'Floorwork', 'Poledance', 'Tanzen', 'Fitness', 'Tanzen', 'Tanzen', 'Fitness', 'Fitness', 'Tanzen', 'Fitness', 'Tanzen', 'Tanzen', 'Stretching', 'Fitness', 'Tanzen', 'Poledance', 'Stretching', 'Tanzen', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/48152c51-ac9d-44e8-947d-eb43b1006c48/_dsc0005_webjpg-x-large.webp', 'https://files.eversports.com/6606e68b-eb77-4b9c-b686-9dc2fafb6188/dsc_0010_web-2jpg-small.webp', 'https://files.eversports.com/edf14dee-8a73-4a4a-b636-c3c7cfcb28c0/dsc_0057_webjpg-small.webp', 'https://files.eversports.com/6b913607-ea2c-43e5-b394-413758dbdc90/trainerbildernordpole_pole-final-p2-web-7jpg-small.webp', 'https://files.eversports.com/339ff845-7162-454e-866b-de70f3cb0f62/_dsc0087_webjpeg-small.webp']",2024-01-24 19:20:01,2024-01-24 19:20:01
,"['Landgrafenstraße 6 ', ' 66969 Lemberg']",66969,Lemberg,Landgrafenstraße 6 ,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Preise', 'Team']","Pole Dance bzw. Pole Fitness ist eine Sportart, die Fitness-, Yoga-, Gymnastik- und Akrobatik miteinander kombiniert. Es ist eine abwechslungsreiche und ästhetische Trainingsmethode, die Ausdauer, Kraft und Flexibilität in den Fokus stellt. Sowohl Frauen als auch Männer aller Altersgruppen mit ganz unterschiedlichen Körperstrukturen, physischen Eigenschaften und Vorerfahrungen im Fitness- und Tanzbereich können diesen Sport ausüben. Die Kurse bauen nach einem Levelsystem auf.Das heißt am Anfang kannst du entweder eine Probestunde oder 4 Probestunden aufeinmal buchen, welche vier Wochen andauern. Danach kommst du zum Level 1, dann Level 2 usw. Hast du bereits Erfahrungen im Polesport wirst du dem Level entsprechend eingestuft.",5,3 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 5.0']", polefit.alinesustrath@gmail.com,https://www.polefit-pirmasens.com,+49 15254594149,https://www.eversports.de/s/PoleFit-Aline-Sustrath,"['Poledance', 'Stretching', 'Poledance', 'Poledance', 'Poledance', 'Stretching', 'Poledance', '3 Rezensionen', 'Poledance', 'Stretching']",Zum Stundenplan,"['https://files.eversports.com/b0fc6bd4-5d8a-4093-bb18-3e4c53a6da4a/img_1941jpeg-x-large.webp', 'https://files.eversports.com/76f12233-dcee-4840-8818-7a57484cb7e7/img_3663jpeg-small.webp', 'https://files.eversports.com/e1c23122-3248-487a-b5bf-8e22e60aba13/9474f898-e5dc-4e26-a2ec-ef0fc01ed030jpeg-small.webp', 'https://files.eversports.com/bc5423de-9fc2-42e9-b600-730aec1b3430/img_7392jpeg-small.webp', 'https://files.eversports.com/2250904d-4bf3-44b4-a233-d70dab65c02b/2c242023-77a9-4ad2-9c76-e6e12f426eecjpeg-small.webp']",2024-01-24 19:20:16,2024-01-24 19:20:16
,,,,,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Preise', 'Team']",AlinePoledanceStretchingZum StundenplanCaroPoledanceZum StundenplanCarinaPoledanceZum StundenplanJuliaPoledanceZum StundenplanSabineStretchingPoledanceZum StundenplanAngelaPoledanceStretchingZum StundenplanKatrinPoledanceZum Stundenplan,,,[], polefit.alinesustrath@gmail.com,https://www.polefit-pirmasens.com,+49 15254594149,https://www.eversports.de/s/PoleFit-Aline-Sustrath/team,"['Poledance', 'Stretching', 'Poledance', 'Poledance', 'Poledance', 'Stretching', 'Poledance', 'Poledance', 'Stretching', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/b0fc6bd4-5d8a-4093-bb18-3e4c53a6da4a/img_1941jpeg-x-large.webp', 'https://files.eversports.com/76f12233-dcee-4840-8818-7a57484cb7e7/img_3663jpeg-small.webp', 'https://files.eversports.com/e1c23122-3248-487a-b5bf-8e22e60aba13/9474f898-e5dc-4e26-a2ec-ef0fc01ed030jpeg-small.webp', 'https://files.eversports.com/bc5423de-9fc2-42e9-b600-730aec1b3430/img_7392jpeg-small.webp', 'https://files.eversports.com/2250904d-4bf3-44b4-a233-d70dab65c02b/2c242023-77a9-4ad2-9c76-e6e12f426eecjpeg-small.webp']",2024-01-24 19:21:13,2024-01-24 19:21:13
,"['Marktstraße 65 ', ' 31303 Burgdorf']",31303,Burgdorf,Marktstraße 65 ,"['Übersicht', 'Klassen', 'Kurse', 'Retreats', 'Preise', 'Team']","Yoga in Burgdorf in seiner ganzen Vielfalt entdeckenYoga Vidya Burgdorf lehrt integrales Yoga in der Tradition von Swami Sivananda. Kursteilnehmer:innen haben so die Möglichkeit, Aspekte aller der sechs bestehenden Yogawege in ihre Praxis zu integrieren: Hatha Yoga, Kundalini Yoga, Karma Yoga, Jnana Yoga, Bhakti Yoga und Raja Yoga. Durch die Integration aller 6 Wege zu einer harmonischen Praxis, kannst du Yoga in seiner ganzen Fülle, über Körperübungen hinaus, erfahren und erleben. So kannst du zu mehr Gesundheit, Freude und Zufriedenheit in deinem Leben kommen.Das Yoga Vidya Center Burgdorf begrüßt dich mitten im Herzen der Stadt in der zentral gelegenen Marktstraße. Dort erwarten dich helle, sonnige und ruhige Räume zum Praktizieren. Daneben findest du bei uns das vegane Karma-Cafe, wo dich leckerer Yogi-Tee und Bio-Cafe und ein kleiner Shop für Yoga-Zubehör und anderen hübschen Dingen erwarten. Parkplätze findest du ganz in der Nähe, z.B. auf der Hochstraße und falls du mit der S-Bahn anreist, bist du in 5 Minuten Fußweg bei uns.Yogamatten, Sitzkissen und Decken (alles in Bio Qualität) sind ausreichend vorhanden.Wir freuen uns über deinen Besuch!Dein fröhliches und kompetentes Team von Yoga Vidya Burgdorf","4,9",2 Rezensionen,"['Raumqualität: 4.5', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 5.0']", burgdorf@yoga-vidya.de,https://www.yoga-vidya.de/center/burgdorf/,+49 01777555379,https://www.eversports.de/s/yoga-vidya-burgdorf,"['Theorieraum', 'Yoga', 'Yoga', 'Theorieraum', 'Yoga', 'Theorieraum', 'Yoga', 'Theorieraum', 'Theorieraum', 'Yoga', '2 Rezensionen', 'Yoga', 'Theorieraum', 'Rückenfit', 'Gruppenangebote', 'Seminarraum', 'Meditation', 'Raumvermietung', 'Progressive Muskelentspannung', 'Persönlichkeitsentwicklung', 'Hatha Yoga', 'Kindersport', 'Gastro', 'Eltern und Kind', 'Sportreisen', 'Achtsamkeit', 'Kleingruppentraining', 'Coaching', 'Gruppentraining', 'Kinderangebot', 'Seminar', 'Hormonyoga', 'Beckenboden-Training', 'Pranayama', 'Hatha Raja Yoga', 'Vorträge', 'Entspannung', 'Yoga Nidra', 'Atemübungen', 'Selbstliebe', 'Spirituelle Entwicklung', 'Frauenenergie', 'Satsang', 'Weiterbildung', 'Online Klasse', 'Frauenheilkunde', 'Eltern-Kind-Yoga', 'Sivananda', 'Präventionskurs', 'Angepasste körperliche Betätigung', 'Dehnung/Flexibilität', 'Fitness und Yoga', 'Dehnbarkeit und Beweglichkeit', 'Yoga für die Familie', 'Jnana Yoga', 'Regeneration', 'Kirtan', 'Open Yoga', 'Lachyoga', 'Probetraining', 'Entspannungspädagogik', 'Aura/Chakren Arbeit', 'Ganzheitliches Yoga', 'Best Ager Fitness', 'Körperarbeit', 'Körperhaltungstherapie', 'Übungen zum Lösen von Verspannungen', 'Resilienztraining', 'Yoga in den Wechseljahren', 'Therapeutisches Yoga', 'Mantra Yoga', 'Gruppen Workout', 'Feet-Up', 'Kinder Yoga', 'Kinderwunsch-Yoga', 'Yoga für Mehrgewichtige', 'Plus Size Yoga', 'Rückenyoga', 'Leichtes Yoga', 'Persönliches Coaching', 'Ganzkörpertraining', 'Yoga für Frauen', 'Stärkung/Flexibilität', 'Regenerierender Yoga', 'Global Healing', 'Privates Training', 'Retreats', 'Aktivitäten für Kinder', 'Aktivitäten für Erwachsene', 'Aktivitäten für Kinder und Erwachsene', 'Workshop', 'Firmenyoga', 'Partner Yoga', 'Chakrayoga', 'Lockerungsübungen / Meditation', 'Gruppenfläche', 'Stressbewältigung', 'Beckenboden-Rückenfit', 'Einzeltraining']",Kostenlos Schnuppern,"['https://files.eversports.com/2b06cb7a-a627-4d21-975c-ff09c2d208c2/pxl_20230513_142045461jpg-x-large.webp', 'https://files.eversports.com/2a510eb5-d97b-4e3d-83e4-fac492f7cf02/pxl_20230430_113406724jpg-small.webp', 'https://files.eversports.com/d7043fa7-d28d-42a7-bc08-c1621d23834f/yogabildjpg-small.webp', 'https://files.eversports.com/03177d17-570a-41d1-90bc-241183bb0e60/yogarraumjpg-small.webp', 'https://files.eversports.com/1c7c7848-897b-4e8f-8ac0-82e82114f0e3/pxl_20230510_173716756jpg-small.webp']",2024-01-24 19:21:30,2024-01-24 19:21:30
,,,,,"['Übersicht', 'Klassen', 'Kurse', 'Retreats', 'Preise', 'Team']",Nicole PadminiTheorieraumYoga+ 86Zum StundenplanChristianYogaTheorieraum+ 86Zum StundenplanNachitekasYogaTheorieraum+ 86Zum StundenplanJohannaYogaTheorieraum+ 86Zum StundenplanMichaela TheorieraumYoga+ 86Zum StundenplanNicole Padmini Neumann und Sabine KubitzTheorieraumRückenfit+ 86Zum StundenplanSabineTheorieraumSeminarraum+ 86Zum StundenplanSilkeTheorieraumGruppenangebote+ 86Zum StundenplanTomTheorieraumSeminarraum+ 86Zum Stundenplan,,,[], burgdorf@yoga-vidya.de,https://www.yoga-vidya.de/center/burgdorf/,+49 01777555379,https://www.eversports.de/s/yoga-vidya-burgdorf/team,"['Theorieraum', 'Yoga', 'Yoga', 'Theorieraum', 'Yoga', 'Theorieraum', 'Yoga', 'Theorieraum', 'Theorieraum', 'Yoga', 'Theorieraum', 'Rückenfit', 'Theorieraum', 'Seminarraum', 'Theorieraum', 'Gruppenangebote', 'Theorieraum', 'Seminarraum']",Zum Stundenplan,"['https://files.eversports.com/2b06cb7a-a627-4d21-975c-ff09c2d208c2/pxl_20230513_142045461jpg-x-large.webp', 'https://files.eversports.com/2a510eb5-d97b-4e3d-83e4-fac492f7cf02/pxl_20230430_113406724jpg-small.webp', 'https://files.eversports.com/d7043fa7-d28d-42a7-bc08-c1621d23834f/yogabildjpg-small.webp', 'https://files.eversports.com/03177d17-570a-41d1-90bc-241183bb0e60/yogarraumjpg-small.webp', 'https://files.eversports.com/1c7c7848-897b-4e8f-8ac0-82e82114f0e3/pxl_20230510_173716756jpg-small.webp']",2024-01-24 19:21:36,2024-01-24 19:21:36
,"['Raschigstraße 100', ' 67067 Ludwigshafen am Rhein']",67067,Ludwigshafen,Raschigstraße 100,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']",Neueröffnung am 19.Juni 2023,5,8 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 5.0']", team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-ludwigshafen,"['Poledance', 'Poledance', 'Stretching', 'Poledance', 'Aerial Yoga', 'Aerial Yoga', 'Poledance', 'Poledance', 'Power Pole', '8 Rezensionen', 'Poledance', 'Aerial Yoga', 'Flexibles Training', 'Power Pole', 'Lapdance', 'Chairdance', 'Aerial Hoop', 'Aerial Akrobatik', 'Polesport', 'Burlesque', 'Contemporary Dance', 'Exotic', 'Stärkung/Flexibilität', 'Pole handstand', 'Privates Training', 'Aerial Hammock']",3 Angebote für Neukund:innen,"['https://files.eversports.com/8d4fd1ac-e5e7-4335-a2c1-c7ed3c813df8/miriams-4429jpg-x-large.webp', 'https://files.eversports.com/c359e37a-42ff-4943-bcf6-95adbd64e951/miriams-3096jpg-small.webp']",2024-01-24 19:21:52,2024-01-24 19:21:52
,,,,,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']",LauraPoledanceZum StundenplanVanessa I.PoledanceStretching+ 3Zum StundenplanMiriam S.PoledanceAerial Yoga+ 14Zum StundenplanAngelina v.Z.Aerial YogaPoledance+ 14Zum StundenplanCarolinePoledancePower Pole+ 3Zum StundenplanJasminFitnessPoledance+ 1Zum StundenplanSophie G.PoledanceFlexibles Training+ 14Zum StundenplanAndreaRaumvermietungPoledance+ 13Zum StundenplanKathrin (Kasia)PoledanceAerial Yoga+ 14Zum StundenplanLea S.Aerial HoopZum StundenplanPatriciaPoledanceRaumvermietung+ 11Zum StundenplanSophie M.LapdancePower Pole+ 6Zum StundenplanLisaPoledanceStretching+ 3Zum StundenplanAliciaFitnessPoledance+ 4Zum StundenplanAlixFitnessTanzen+ 4Zum StundenplanAlyshaFitnessPoledance+ 13Zum StundenplanAmeliePower PolePoledance+ 8Zum StundenplanAnabelZum StundenplanAngelina K.Flexibles TrainingZum StundenplanAngelique M.FitnessPoledance+ 13Zum StundenplanAnnePoledancePower Pole+ 3Zum StundenplanArletaZum StundenplanArletaPower PolePoledance+ 3Zum StundenplanBerfinPower PolePoledance+ 8Zum StundenplanCelineFitnessRaumvermietung+ 13Zum StundenplanChantalPower PolePoledance+ 8Zum StundenplanClassZum Stundenplan,,,[], team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-ludwigshafen/team,"['Poledance', 'Poledance', 'Stretching', 'Poledance', 'Aerial Yoga', 'Aerial Yoga', 'Poledance', 'Poledance', 'Power Pole', 'Fitness', 'Poledance', 'Poledance', 'Flexibles Training', 'Raumvermietung', 'Poledance', 'Poledance', 'Aerial Yoga', 'Aerial Hoop', 'Poledance', 'Raumvermietung', 'Lapdance', 'Power Pole', 'Poledance', 'Stretching', 'Fitness', 'Poledance', 'Fitness', 'Tanzen', 'Fitness', 'Poledance', 'Power Pole', 'Poledance', 'Flexibles Training', 'Fitness', 'Poledance', 'Poledance', 'Power Pole', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Fitness', 'Raumvermietung', 'Power Pole', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/8d4fd1ac-e5e7-4335-a2c1-c7ed3c813df8/miriams-4429jpg-x-large.webp', 'https://files.eversports.com/c359e37a-42ff-4943-bcf6-95adbd64e951/miriams-3096jpg-small.webp']",2024-01-24 19:23:10,2024-01-24 19:23:10
,"['Aeulestraße 2 ', ' 72074 Tübingen']",72074,Tübingen,Aeulestraße 2 ,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Komm vorbei und lerne zu fliegen!Bei Polemotions erwartet Dich mehr als wunderschöne Luftakrobatik. Wir sind eine Community voller unterschiedlicher Menschen, die alle nichts lieber tun als gemeinsam durchs Studio zu fliegen - aber jede:r auf seine eigene Art.Wir lieben alle Facetten und Stile von Pole Dance. Du willst etwas Neues versuchen, dich mehr bewegen, abschalten, etwas Besonderes ausprobieren, auf der Bühne stehen, tanzen und die Welt um dich vergessen, selbstbewusster werden und eine neue Seite von dir entdecken? Egal, was dein Grund ist zu uns ins Studio zu kommen - jeder Grund ist der richtige um Pole Dance anzufangen und wir freuen uns auf Dich!Werde Teil unserer Polemotions Family und lass dich von unserem Luftakrobatik-Fieber anstecken.","4,9",74 Rezensionen,"['Raumqualität: 4.9', 'Freundlichkeit & Service: 4.9', 'Sauberkeit: 5.0', 'Atmosphäre: 4.9', 'Preis-Leistung: 4.8']", info@polemotions.de,https://polemotions.de/,,https://www.eversports.de/s/polemotions-tuebingen,"['Krafttraining', 'Poledance', 'Krafttraining', 'Yoga', 'Poledance', 'Stretching', 'Poledance', 'Online Klasse', 'Poledance', 'Online Klasse', '74 Rezensionen', 'Yoga', 'Poledance', 'Krafttraining', 'Acroyoga', 'Stretching', 'Handstand', 'Vinyasa Yoga', 'Aerial Hoop', 'Aerial Akrobatik', 'Mobility', 'Core', 'Heels', 'Online Klasse', 'Zirkus']",1 Angebot für Neukund:innen,"['https://files.eversports.com/acd0bdf0-7c65-4087-82b3-595f12c318c3/l22b2057-epjpg-x-large.webp', 'https://files.eversports.com/0ec3aefc-07d8-44fa-9511-942dce5c2dbe/l22b6111jpg-small.webp', 'https://files.eversports.com/67018de4-2e4d-4ea2-a08e-a9ff82c8a880/img_9882b-small.webp', 'https://files.eversports.com/b09ecd3f-d8e8-4abb-b42e-851ef44cea30/_22b9311jpg-small.webp', 'https://files.eversports.com/fdf35b3e-ddc1-4d47-ad61-48d2e76757ab/dscf6026-1-copylowresolutionjpg-small.webp']",2024-01-24 19:23:33,2024-01-24 19:23:33
,,,,,[],,,,[],,,,https://www.eversports.de/s/polemotions-tuebingen/videos,[],,[],2024-01-24 19:25:48,2024-01-24 19:25:48
