PoleStudio_Name,Adresse,PLZ,Stadt,Straße,Buttons,Pole Studio Beschreibung,Ratingscore,Reviewanzahl,Rating Faktoren,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Bildergalerie,Created Date,Updated Date
,,,,,"['Übersicht', 'Klassen', 'Kurse', 'Videos', 'Preise', 'Team']","LindaTanzenAerobic+ 5Zum StundenplanCarmenZum StundenplanIsabelleBarre-TrainingZirkeltraining+ 15Zum StundenplanHannekePilatesPoledance+ 15Zum StundenplanGerdaPoledanceHIITZum StundenplanAntoninaPoledanceZum StundenplanChantal R.SchwangerschaftsgymnastikSport für SchwangereZum StundenplanClaireHIITZum StundenplanJudithBauch, Beine, PoGanzkörpertrainingZum StundenplanLaura H.Bauch, Beine, PoFlexibles Training+ 1Zum StundenplanAnnemarijnFlexibles TrainingPower Yoga+ 2Zum StundenplanJavieraPoledancePolesportZum StundenplanKarinZum StundenplanChantal A.XCoreZum StundenplanLaura R.Flexibles TrainingPoledance+ 2Zum StundenplanLisaZum StundenplanAnneZumbaPoledance+ 7Zum StundenplanMyrtheBallettBarre-TrainingZum StundenplanSuzanneZirkeltrainingPoledance+ 15Zum StundenplanZanetaZumbaPoledance+ 7Zum Stundenplan",,,[], info@calipsostudio.nl,http://calipsostudio.nl,,https://www.eversports.de/s/calipso-studio/team,"['Tanzen', 'Aerobic', 'Barre-Training', 'Zirkeltraining', 'Pilates', 'Poledance', 'Poledance', 'HIIT', 'Poledance', 'Schwangerschaftsgymnastik', 'Sport für Schwangere', 'HIIT', 'Bauch, Beine, Po', 'Ganzkörpertraining', 'Bauch, Beine, Po', 'Flexibles Training', 'Flexibles Training', 'Power Yoga', 'Poledance', 'Polesport', 'XCore', 'Flexibles Training', 'Poledance', 'Zumba', 'Poledance', 'Ballett', 'Barre-Training', 'Zirkeltraining', 'Poledance', 'Zumba', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/6dd0d459-c331-467f-aa01-bb8b49ca6888/cl-31jpg-x-large.webp', 'https://files.eversports.com/86182b9f-709c-402e-8142-b3a6c3222095/cl-121jpg-small.webp', 'https://files.eversports.com/c61a7ecd-0d55-4886-a8cc-a60c4dd3c305/cl-115jpg-small.webp', 'https://files.eversports.com/0db5a74e-60f5-4b65-bc2f-f3add27a8d33/calipso-22april2022-79jpg-small.webp', 'https://files.eversports.com/3b82c330-0f7a-44fa-a74c-9a7f4a594f34/calipso-22april2022-83jpg-small.webp']",2024-01-25 00:46:59,2024-01-25 00:46:59
,"['Edisonstraße 20', ' 68309 Mannheim']",68309,Mannheim,Edisonstraße 20,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Willkommen bei Pole and Move. Unser Motto 2022: Egal was passiert am Ende werden wir Tanzen. Unsere Studios befinden sich in Mannheim, Heidelberg und Ketsch und natürlich auch Online. Wir sind ein junges, dynamisches und motiviertes Unternehmen in der Sport- und Fitnessbranche, welches sich hauptsächlich auf den Polesport & Arial Arts konzentriert.
Wir freuen uns auf alle Tanz- und Sportbegeisterte, die uns einmal besuchen möchten.","4,8",29 Rezensionen,"['Raumqualität: 4.8', 'Freundlichkeit & Service: 4.8', 'Sauberkeit: 4.8', 'Atmosphäre: 4.8', 'Preis-Leistung: 4.8']", team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-online-studio,"['Power Pole', 'Poledance', 'Fitness', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', '29 Rezensionen', 'Fitness', 'Tanzen', 'Poledance', 'Stretching', 'Lapdance', 'Chairdance', 'Aerial Dance', 'Burlesque', 'Hula Hoop', 'Twerken']",1 Angebot für Neukund:innen,"['https://files.eversports.com/ce18ee10-e44a-482a-8c85-5ab57a420e0b/larab-web-2285jpg-x-large.webp', 'https://files.eversports.com/66aafbb2-8629-4ccb-ac2e-ca10e0b27ceb/img_8663_compressedjpg-small.webp', 'https://files.eversports.com/e280e70a-4668-4b2c-84c4-399d30ccdc40/img_8657jpg-small.webp', 'https://files.eversports.com/c1b6cd34-59f4-4a3a-bce4-88d44c7fa055/miriams-4726jpg-small.webp', 'https://files.eversports.com/23e52706-35b9-4879-8316-5c8729aa82ac/miriams-4429jpg-small.webp']",2024-01-25 00:47:09,2024-01-25 00:47:09
,,,,,[],,,,[],,,,https://www.eversports.de/s/pole-and-move-online-studio/videos,[],,[],2024-01-25 00:47:50,2024-01-25 00:47:50
,,,,,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']",RomyPower PolePoledance+ 3Zum StundenplanJasminFitnessPoledance+ 1Zum StundenplanNina C.Power PolePoledance+ 3Zum StundenplanYesim CatherinePower PolePoledance+ 3Zum StundenplanAmeliePower PolePoledance+ 8Zum StundenplanBerfinPower PolePoledance+ 8Zum StundenplanDuyguPoledancePower Pole+ 8Zum StundenplanJennyPoledanceHandstand+ 8Zum StundenplanSandraZum StundenplanAngelique M.FitnessPoledance+ 13Zum StundenplanAliciaFitnessPoledance+ 4Zum StundenplanAlixFitnessTanzen+ 4Zum StundenplanAlyshaFitnessPoledance+ 13Zum StundenplanAnabelZum StundenplanAndreaRaumvermietungPoledance+ 13Zum StundenplanAngelina K.Flexibles TrainingZum StundenplanAngelina v.Z.Aerial YogaPoledance+ 14Zum StundenplanAnnePoledancePower Pole+ 3Zum StundenplanArletaZum StundenplanArletaPower PolePoledance+ 3Zum StundenplanCarolinePoledancePower Pole+ 3Zum StundenplanCelineFitnessRaumvermietung+ 13Zum StundenplanChantalPower PolePoledance+ 8Zum StundenplanClassZum StundenplandariaRaumvermietungPower Pole+ 11Zum StundenplanElisaFitnessPower Pole+ 8Zum StundenplanEugeniaPoledanceRaumvermietung+ 13Zum Stundenplan,,,[], team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-online-studio/team,"['Power Pole', 'Poledance', 'Fitness', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Poledance', 'Power Pole', 'Poledance', 'Handstand', 'Fitness', 'Poledance', 'Fitness', 'Poledance', 'Fitness', 'Tanzen', 'Fitness', 'Poledance', 'Raumvermietung', 'Poledance', 'Flexibles Training', 'Aerial Yoga', 'Poledance', 'Poledance', 'Power Pole', 'Power Pole', 'Poledance', 'Poledance', 'Power Pole', 'Fitness', 'Raumvermietung', 'Power Pole', 'Poledance', 'Raumvermietung', 'Power Pole', 'Fitness', 'Power Pole', 'Poledance', 'Raumvermietung']",Zum Stundenplan,"['https://files.eversports.com/ce18ee10-e44a-482a-8c85-5ab57a420e0b/larab-web-2285jpg-x-large.webp', 'https://files.eversports.com/66aafbb2-8629-4ccb-ac2e-ca10e0b27ceb/img_8663_compressedjpg-small.webp', 'https://files.eversports.com/e280e70a-4668-4b2c-84c4-399d30ccdc40/img_8657jpg-small.webp', 'https://files.eversports.com/c1b6cd34-59f4-4a3a-bce4-88d44c7fa055/miriams-4726jpg-small.webp', 'https://files.eversports.com/23e52706-35b9-4879-8316-5c8729aa82ac/miriams-4429jpg-small.webp']",2024-01-25 00:47:51,2024-01-25 00:47:51
,"['Allgäuer Straße 12 ', ' 87700 Memmingen']",87700,Memmingen,Allgäuer Straße 12 ,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",,,"['Raumqualität: 0.0', 'Freundlichkeit & Service: 0.0', 'Sauberkeit: 0.0', 'Atmosphäre: 0.0', 'Preis-Leistung: 0.0']",,,,https://www.eversports.de/s/poleart_inspiration,"['(Noch keine Bewertungen)', 'Poledance']",,[],2024-01-25 00:47:54,2024-01-25 00:47:54
,"['Holzer Straße 98 ', ' 66287 Quierschied']",66287,Quierschied,Holzer Straße 98 ,"['Übersicht', 'Klassen', 'Workshops', 'Events', 'Videos', 'Preise', 'Team']","Das Aerial Art Poledance in ein Poledance Studio in Quierschied. Es befindet sich unweit vom Ortszentrum und ist räumlich sehr großzügig gestaltet. Angeboten werden im Studio Poledancekurse für alle Niveaustufen, sowohl als Einzel- als auch als Gruppenunterricht. Das Studio kann aber auch fürs freie Training genutzt werden. Daneben wird bei Aerial Art Poledance auch Aerial Hoop und Movement Meditation angeboten.","4,9",106 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 4.9', 'Preis-Leistung: 4.7']", info@aerialart-poledance.de,http://www.aerialart-poledance.de/,01777870239,https://www.eversports.de/s/aerial-art-poledance,"['Poledance', 'Poledance', 'Poledance', 'Online Klasse', 'Poledance', '106 Rezensionen', 'Poledance', 'Online Klasse']",1 Angebot für Neukund:innen,['https://files.eversports.com/22c70aea-bf3a-4ee2-be9b-62d7b2024bfa/fuer-eversportsjpg-x-large.webp'],2024-01-25 00:48:08,2024-01-25 00:48:08
,,,,,[],,,,[],,,,https://www.eversports.de/s/aerial-art-poledance/videos,[],,[],2024-01-25 00:49:50,2024-01-25 00:49:50
,,,,,"['Übersicht', 'Klassen', 'Workshops', 'Events', 'Videos', 'Preise', 'Team']",ElaineZum StundenplanSophiaPoledanceZum StundenplanLeoniePoledanceZum StundenplanNataliePoledanceOnline KlasseZum StundenplanAlexandraPoledanceZum StundenplanJessicaPoledanceZum StundenplanJuliaPoledanceOnline KlasseZum StundenplanVanessaPoledanceOnline KlasseZum StundenplanNicolePoledanceOnline KlasseZum StundenplanJanineOnline KlassePoledanceZum StundenplanKathiOnline KlassePoledanceZum StundenplanLauraPoledanceZum StundenplanAnnaPoledanceZum StundenplanChristinaPoledanceZum StundenplanHannaPoledanceZum StundenplanJenniferPoledanceZum StundenplankrissiPoledanceOnline KlasseZum Stundenplan,,,[], info@aerialart-poledance.de,http://www.aerialart-poledance.de/,01777870239,https://www.eversports.de/s/aerial-art-poledance/team,"['Poledance', 'Poledance', 'Poledance', 'Online Klasse', 'Poledance', 'Poledance', 'Poledance', 'Online Klasse', 'Poledance', 'Online Klasse', 'Poledance', 'Online Klasse', 'Online Klasse', 'Poledance', 'Online Klasse', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Online Klasse']",Zum Stundenplan,['https://files.eversports.com/22c70aea-bf3a-4ee2-be9b-62d7b2024bfa/fuer-eversportsjpg-x-large.webp'],2024-01-25 00:49:51,2024-01-25 00:49:51
,"['Goethestraße 6b ', ' 39108 Magdeburg']",39108,Magdeburg,Goethestraße 6b ,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Preise', 'Team']","Pole Dance ist für alle geeignet!Pole Dance ist die perfekte Sportart für alle, die Kraft aufbauen möchten, beweglicher werden wollen oder einfach Lust auf akrobatisches Tanzen haben. Voraussetzungen gibt es eigentlich keine.",5,44 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 5.0']", info@polelounge.de,http://www.polelounge.de,+49 1734575394,https://www.eversports.de/s/the-pole-lounge,"['Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', '44 Rezensionen', 'Poledance']",Zum Stundenplan,['https://files.eversports.com/4b2be055-5760-4931-a3ea-b3f673e11450/tpl_logo_300jpg-x-large.webp'],2024-01-25 00:50:02,2024-01-25 00:50:02
,,,,,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Preise', 'Team']",ShardellePoledanceZum StundenplanLauraPoledanceZum StundenplanManuelaPoledanceZum StundenplanTabeaPoledanceZum StundenplanHenrikePoledanceZum StundenplanAnnaPoledanceZum StundenplanCaroline PoledanceZum StundenplanLeonoraPoledanceZum StundenplanToniaPoledanceZum StundenplanElisabethZum StundenplanEmiriaPoledanceZum Stundenplan,,,[], info@polelounge.de,http://www.polelounge.de,+49 1734575394,https://www.eversports.de/s/the-pole-lounge/team,"['Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance']",Zum Stundenplan,['https://files.eversports.com/4b2be055-5760-4931-a3ea-b3f673e11450/tpl_logo_300jpg-x-large.webp'],2024-01-25 00:52:29,2024-01-25 00:52:29
,"['Zugspitzstraße 2A', ' 85591 Vaterstetten']",85591,Vaterstetten,Zugspitzstraße 2A,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",,,"['Raumqualität: 0.0', 'Freundlichkeit & Service: 0.0', 'Sauberkeit: 0.0', 'Atmosphäre: 0.0', 'Preis-Leistung: 0.0']", info@pure-body-concepts.de,,+49 8106 3774499,https://www.eversports.de/s/pure-body-concepts,"['(Noch keine Bewertungen)', 'Pilates', 'Tanzen', 'Yoga', 'Zumba', 'Kickboxen']",,['https://files.eversports.com/e602dd22-8dcb-4198-8372-f0a48022f1fa/bildschirmfoto-2018-10-17-um-085515png-x-large.webp'],2024-01-25 00:52:32,2024-01-25 00:52:32
,"['Marktstraße 65 ', ' 31303 Burgdorf']",31303,Burgdorf,Marktstraße 65 ,"['Übersicht', 'Klassen', 'Kurse', 'Retreats', 'Preise', 'Team']","Yoga in Burgdorf in seiner ganzen Vielfalt entdeckenYoga Vidya Burgdorf lehrt integrales Yoga in der Tradition von Swami Sivananda. Kursteilnehmer:innen haben so die Möglichkeit, Aspekte aller der sechs bestehenden Yogawege in ihre Praxis zu integrieren: Hatha Yoga, Kundalini Yoga, Karma Yoga, Jnana Yoga, Bhakti Yoga und Raja Yoga. Durch die Integration aller 6 Wege zu einer harmonischen Praxis, kannst du Yoga in seiner ganzen Fülle, über Körperübungen hinaus, erfahren und erleben. So kannst du zu mehr Gesundheit, Freude und Zufriedenheit in deinem Leben kommen.Das Yoga Vidya Center Burgdorf begrüßt dich mitten im Herzen der Stadt in der zentral gelegenen Marktstraße. Dort erwarten dich helle, sonnige und ruhige Räume zum Praktizieren. Daneben findest du bei uns das vegane Karma-Cafe, wo dich leckerer Yogi-Tee und Bio-Cafe und ein kleiner Shop für Yoga-Zubehör und anderen hübschen Dingen erwarten. Parkplätze findest du ganz in der Nähe, z.B. auf der Hochstraße und falls du mit der S-Bahn anreist, bist du in 5 Minuten Fußweg bei uns.Yogamatten, Sitzkissen und Decken (alles in Bio Qualität) sind ausreichend vorhanden.Wir freuen uns über deinen Besuch!Dein fröhliches und kompetentes Team von Yoga Vidya Burgdorf","4,9",2 Rezensionen,"['Raumqualität: 4.5', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 5.0']", burgdorf@yoga-vidya.de,https://www.yoga-vidya.de/center/burgdorf/,+49 01777555379,https://www.eversports.de/s/yoga-vidya-burgdorf,"['Theorieraum', 'Yoga', 'Yoga', 'Theorieraum', 'Yoga', 'Theorieraum', 'Yoga', 'Theorieraum', 'Theorieraum', 'Yoga', '2 Rezensionen', 'Yoga', 'Theorieraum', 'Rückenfit', 'Gruppenangebote', 'Seminarraum', 'Meditation', 'Raumvermietung', 'Progressive Muskelentspannung', 'Persönlichkeitsentwicklung', 'Hatha Yoga', 'Kindersport', 'Gastro', 'Eltern und Kind', 'Sportreisen', 'Achtsamkeit', 'Kleingruppentraining', 'Coaching', 'Gruppentraining', 'Kinderangebot', 'Seminar', 'Hormonyoga', 'Beckenboden-Training', 'Pranayama', 'Hatha Raja Yoga', 'Vorträge', 'Entspannung', 'Yoga Nidra', 'Atemübungen', 'Selbstliebe', 'Spirituelle Entwicklung', 'Frauenenergie', 'Satsang', 'Weiterbildung', 'Online Klasse', 'Frauenheilkunde', 'Eltern-Kind-Yoga', 'Sivananda', 'Präventionskurs', 'Angepasste körperliche Betätigung', 'Dehnung/Flexibilität', 'Fitness und Yoga', 'Dehnbarkeit und Beweglichkeit', 'Yoga für die Familie', 'Jnana Yoga', 'Regeneration', 'Kirtan', 'Open Yoga', 'Lachyoga', 'Probetraining', 'Entspannungspädagogik', 'Aura/Chakren Arbeit', 'Ganzheitliches Yoga', 'Best Ager Fitness', 'Körperarbeit', 'Körperhaltungstherapie', 'Übungen zum Lösen von Verspannungen', 'Resilienztraining', 'Yoga in den Wechseljahren', 'Therapeutisches Yoga', 'Mantra Yoga', 'Gruppen Workout', 'Feet-Up', 'Kinder Yoga', 'Kinderwunsch-Yoga', 'Yoga für Mehrgewichtige', 'Plus Size Yoga', 'Rückenyoga', 'Leichtes Yoga', 'Persönliches Coaching', 'Ganzkörpertraining', 'Yoga für Frauen', 'Stärkung/Flexibilität', 'Regenerierender Yoga', 'Global Healing', 'Privates Training', 'Retreats', 'Aktivitäten für Kinder', 'Aktivitäten für Erwachsene', 'Aktivitäten für Kinder und Erwachsene', 'Workshop', 'Firmenyoga', 'Partner Yoga', 'Chakrayoga', 'Lockerungsübungen / Meditation', 'Gruppenfläche', 'Stressbewältigung', 'Beckenboden-Rückenfit', 'Einzeltraining']",Kostenlos Schnuppern,"['https://files.eversports.com/2b06cb7a-a627-4d21-975c-ff09c2d208c2/pxl_20230513_142045461jpg-x-large.webp', 'https://files.eversports.com/2a510eb5-d97b-4e3d-83e4-fac492f7cf02/pxl_20230430_113406724jpg-small.webp', 'https://files.eversports.com/d7043fa7-d28d-42a7-bc08-c1621d23834f/yogabildjpg-small.webp', 'https://files.eversports.com/03177d17-570a-41d1-90bc-241183bb0e60/yogarraumjpg-small.webp', 'https://files.eversports.com/1c7c7848-897b-4e8f-8ac0-82e82114f0e3/pxl_20230510_173716756jpg-small.webp']",2024-01-25 00:52:42,2024-01-25 00:52:42
,,,,,"['Übersicht', 'Klassen', 'Kurse', 'Retreats', 'Preise', 'Team']",Nicole PadminiTheorieraumYoga+ 86Zum StundenplanChristianYogaTheorieraum+ 86Zum StundenplanNachitekasYogaTheorieraum+ 86Zum StundenplanJohannaYogaTheorieraum+ 86Zum StundenplanMichaela TheorieraumYoga+ 86Zum StundenplanNicole Padmini Neumann und Sabine KubitzTheorieraumRückenfit+ 86Zum StundenplanSabineTheorieraumSeminarraum+ 86Zum StundenplanSilkeTheorieraumGruppenangebote+ 86Zum StundenplanTomTheorieraumSeminarraum+ 86Zum Stundenplan,,,[], burgdorf@yoga-vidya.de,https://www.yoga-vidya.de/center/burgdorf/,+49 01777555379,https://www.eversports.de/s/yoga-vidya-burgdorf/team,"['Theorieraum', 'Yoga', 'Yoga', 'Theorieraum', 'Yoga', 'Theorieraum', 'Yoga', 'Theorieraum', 'Theorieraum', 'Yoga', 'Theorieraum', 'Rückenfit', 'Theorieraum', 'Seminarraum', 'Theorieraum', 'Gruppenangebote', 'Theorieraum', 'Seminarraum']",Zum Stundenplan,"['https://files.eversports.com/2b06cb7a-a627-4d21-975c-ff09c2d208c2/pxl_20230513_142045461jpg-x-large.webp', 'https://files.eversports.com/2a510eb5-d97b-4e3d-83e4-fac492f7cf02/pxl_20230430_113406724jpg-small.webp', 'https://files.eversports.com/d7043fa7-d28d-42a7-bc08-c1621d23834f/yogabildjpg-small.webp', 'https://files.eversports.com/03177d17-570a-41d1-90bc-241183bb0e60/yogarraumjpg-small.webp', 'https://files.eversports.com/1c7c7848-897b-4e8f-8ac0-82e82114f0e3/pxl_20230510_173716756jpg-small.webp']",2024-01-25 00:52:48,2024-01-25 00:52:48
,"['Britanniahütte 10 ', ' 51469 Bergisch Gladbach']",51469,Bergisch,Britanniahütte 10 ,"['Übersicht', 'Klassen', 'Preise', 'Team']","PREISE für alle KINDER und ERWACHSENEN - KURSE:KINDER:Für alle Kinderkurse:kommt einfach vorbei und genießt zum Kennenlernen eine Gratis Probe-Stunde.Wenn es Euch gefällt: dann füllen wir alles gemeinsam im Studio aus oder Ihr könnt Eure Kinder online über Eversports (Membership) anmelden. Bei der Anmeldung fällt eine einmalige Anmeldegebühr von 28,00€ an.- Eure Kinder können Tanzstunden einmal oder zweimal pro Woche zu folgenden Preisen wahrnehmen:45 Minuten 1x pro Woche kosten 39€ pro Monat45 Minuten 2x pro Woche kosten 55€ pro Monat60 Minuten 1x pro Woche nur 43€ pro Monat 60 Minuten 2x pro Woche 59€ pro Monat einmalige Anmeldegebühr über 28€ bei einer Vertragslaufzeit von mindestens 6 Monaten. Nach Ablauf der 6 Monate verlängert sich der Vertrag jeweils automatisch um 3 Monate sofern er nicht 4 Wochen vorm Ablauf schriftlich gekündigt wird und bestätigt.hier könnt Ihr die verschiedenen Mitgliedschaften buchen: Membership Bei Fragen meldet Euch einfach :-) und freuen uns auf Euch!ERWACHSENE: Alle Erwachsenen-Kurse buchbar über Eversports (das Anmelden über dieses Buchensystem ist kostenlos!) eine Probe-Stunde ist kostenlos (einmalig buchbar eine dreier Schnupperkarte 25€ (einmalig buchbar)eine 10ner Karte 119€ Memberships 1x und 2x pro Woche einmalige Anmeldegebühr über 28€ ",5,9 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 4.9']", one8dance@gmail.com,https://one8dance.de/,+49 01782996698,https://www.eversports.de/s/one8dance-studio,"['Tanzen', 'Hip Hop', 'Tanzen', 'Tanzen', 'Zumba', 'Tanzen', 'Hip Hop', '9 Rezensionen', 'Tanzen', 'Zumba', 'Hip Hop', 'Poledance', 'Breakdance', 'Aerial Hoop', 'Aerial Akrobatik', 'Kindertanz', 'Streetdance', 'Heels', 'Reggaeton']",Zum Stundenplan,"['https://files.eversports.com/9396078a-dd70-465c-b57b-1bc7e3c2c4da/img_4926png-x-large.webp', 'https://files.eversports.com/57eb7b67-e584-49f4-8284-d50452240e35/img_4927png-small.webp', 'https://files.eversports.com/6ed4428d-1832-4899-9d62-f98cf8ca2b65/img_4928png-small.webp', 'https://files.eversports.com/9d0e2ec5-fa95-482f-8dfd-e5cecff31e27/img_4930png-small.webp', 'https://files.eversports.com/89a1954c-7d6f-46e2-a0bc-27b1d124b944/img_4931png-small.webp']",2024-01-25 00:52:56,2024-01-25 00:52:56
,,,,,"['Übersicht', 'Klassen', 'Preise', 'Team']",LindaTanzenHip Hop+ 6Zum StundenplanRaffiniooTanzenZum StundenplanVanessaTanzenZumba+ 9Zum StundenplanDilaraTanzenHip Hop+ 9Zum StundenplanDunjaZum Stundenplan,,,[], one8dance@gmail.com,https://one8dance.de/,+49 01782996698,https://www.eversports.de/s/one8dance-studio/team,"['Tanzen', 'Hip Hop', 'Tanzen', 'Tanzen', 'Zumba', 'Tanzen', 'Hip Hop']",Zum Stundenplan,"['https://files.eversports.com/9396078a-dd70-465c-b57b-1bc7e3c2c4da/img_4926png-x-large.webp', 'https://files.eversports.com/57eb7b67-e584-49f4-8284-d50452240e35/img_4927png-small.webp', 'https://files.eversports.com/6ed4428d-1832-4899-9d62-f98cf8ca2b65/img_4928png-small.webp', 'https://files.eversports.com/9d0e2ec5-fa95-482f-8dfd-e5cecff31e27/img_4930png-small.webp', 'https://files.eversports.com/89a1954c-7d6f-46e2-a0bc-27b1d124b944/img_4931png-small.webp']",2024-01-25 00:53:41,2024-01-25 00:53:41
,"['Hummelsbütteler Steindamm ', ' 22851 Hamburg']",22851,Hamburg,Hummelsbütteler Steindamm ,"['Übersicht', 'Klassen', 'Kurse', 'Preise', 'Team']","🌟 Herzlich willkommen im CSS AERIAL DANCE STUDIO! 🌟Lernt die Besitzerin unseres Studios kennen: Corinna Schatz, liebevoll als ""C"" oder ""Schätzle"" bekannt. Sie ist nicht nur die Besitzerin, sondern das Herz und die Seele hinter dem CSS. Mit einem tänzerischen Geist, der bereits im Alter von 3 Jahren entfachte, ist Corinnas Leidenschaft für Bewegung bis heute ungebrochen. Im Jahr 2017 begann sie eine bemerkenswerte Reise, indem sie das CSS gründete und ihren Traum in lebendige Realität verwandelte.Mitten im Herzen von Norderstedt, am Hummelsbütteler Steindamm 84, erstreckt sich das CSS Aerial Dance Studio über großzügige 429 Quadratmeter und bietet eine Oase für alle Bewegungsbegeisterten. Innerhalb dieser Wände findest du eine Schatzkammer an Freuden, darunter Pole Dance, Aerial Hoop, verschiedene Yoga-Kurse und ein charmantes Café - der perfekte Ort für Junggesellinnenabschiede, Firmenfeiern und Geburtstage.Betrete das CSS und du spürst sofort die Wärme eines zweiten Zuhauses. Unser Studio lebt von der herzlichen Atmosphäre einer eng verbundenen Familie. Das Crew-Leben ist hier nicht nur eine Floskel, sondern eine Lebenseinstellung. Die Gewissheit, dass sich jeder Einzelne geschätzt und wohl fühlt, steht im Mittelpunkt unserer Philosophie.Die Anreise zu uns ist ein Kinderspiel - egal ob mit dem Auto oder dem Bus. Wir haben ausreichend Parkplätze und Fahrradständer rund um das Gebäude. Seit 2023 probieren wir zu einem plastikfreien Paradies zu werden. Unsere Reise der Verbesserung geht weiter, denn wir streben danach, ein Vorbild sowohl für die Jungen als auch für die Junggebliebenen zu sein.Komm zu uns ins CSS Aerial Dance Studio und werde Teil unserer außergewöhnlichen Geschichte. Lass uns gemeinsam tanzen, dehnen und fliegen - in einer Umgebung, die nicht nur die Bewegung fördert, sondern auch Raum für Freundschaft, Wachstum und Inspiration schafft. Dein Abenteuer erwartet dich! 🪂🤸‍♀️🎈","4,8",51 Rezensionen,"['Raumqualität: 4.7', 'Freundlichkeit & Service: 4.8', 'Sauberkeit: 4.8', 'Atmosphäre: 4.8', 'Preis-Leistung: 4.7']", CorinnaSchatz@gmx.de,http://www.cssaerialdancestudio.com,+4915224340258,https://www.eversports.de/s/css-aerial-dance-studio,"['Flexibles Training', 'Poledance', 'Poledance', 'Poledance', 'Aerial Yoga', 'Aerial Yoga', 'Poledance', 'Poledance', 'Aerial Hoop', '51 Rezensionen', 'Poledance', 'Aerial Yoga', 'Rückenfit', 'Funktionelles Training', 'Flexibles Training', 'Gruppenangebote', 'Events', 'Acroyoga', 'Bodywork', 'Stretching', 'Handstand', 'Vinyasa Yoga', 'Aerial Hoop', 'Hatha Yoga', 'Yin Yoga', 'Ashtanga Yoga', 'Polesport', 'twerXout®', 'Gruppentraining', 'Hatha Flow Yoga', 'Dreamy Yin Yoga', 'Yin Yang Yoga', 'Online Klasse', 'Prenatal Yoga', 'Dehnung/Flexibilität', 'Twerken', 'Acro Flow', 'Dehnbarkeit und Beweglichkeit', 'Magic Morning', 'Ganzheitliches Yoga', 'Ausbildung', 'Stretch yoga', 'Leichtes Yoga', 'Stretch Flow', 'Morning Yoga Flow', 'Vinyasa Flow', 'Mindful Yoga', 'Privates Training', 'Firmenyoga', 'Partner Yoga', 'Nachhaltigkeit']",Zum Stundenplan,"['https://files.eversports.com/83597a2a-b4a6-4454-ab34-778fb665899a/front-split-3jpg-x-large.webp', 'https://files.eversports.com/7cfd8c7a-0691-4528-98af-82551de5588c/front-split-2jpg-small.webp', 'https://files.eversports.com/1606fba3-6c12-4885-b93e-10392149abf4/front-split-5jpg-small.webp', 'https://files.eversports.com/1defddb3-5681-4347-a2e2-65ffa9e670c7/front-split-6jpg-small.webp', 'https://files.eversports.com/8acfa62b-5341-483d-a514-6474d3dea2ae/front-split-7jpg-small.webp']",2024-01-25 00:53:51,2024-01-25 00:53:51
