,PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
10,Pole Dance Beauties,6112,Edmund-von-Lippmann-Straße 9 , 06112 Halle (Saale),Pole Dance Beauties - Dein Pole Dance Studio in Halle (Saale),0,5.0,24 Rezensionen, kontakt@poledancebeauties.de,http://www.poledancebeauties.de,+49 1797553246,https://www.eversports.de/s/pole-dance-beauties,2023-05-12 15:56:13
11,Pole Dance Palazzo Sportivo,69190,Rudolf-Diesel-Straße 54 , 69190 Walldorf,"Herzlich Willkommen zum Online Buchungssystem vom Palazzo Sportivo. Hier kannst du unsere Pole & Aerial Klassen ganz bequem online buchen. Wir bieten, Pole Dance, Stretch&Flex, Aerial Hoop, Pole in Heels und viele weiteren Klassen in verschiedenen Levels an. Du wirst ausschließlich von einem speziell für Pole & Aerial Sportarten ausgebildeten Team unterrichtet und hast immer deine eigene Stange in allen Pole Dance Klassen.",0,4.9,16 Rezensionen, pole@palazzo-sportivo.de,http://www.poledance-rheinneckar.de,+49 15678684972,https://www.eversports.de/s/pole-dance-palazzo-sportivo,2023-05-12 15:56:13
12,Aerial Circus,4229,Zschochersche Straße 79B , 04229 Leipzig,"Hallo,
und schön, dass Du auf unserer Seite gelandet bist! Seit 2015 gibt es den Aerial Circus nun schon, einen Ort, an dem Begegnung stattfindet, getanzt wird und du an verschiedensten Luftrequisiten über dich hinaus wachsen kannst. Wir haben viele spannende Kurse, regelmäßige Auftritte, tolle Trainer_Innen und natürlich Teilnehmende. In unserem 55m² Studio kannst du dich an sechs Poles, vier Vertikaltüchern (Aerial Silks) und vier Luftringen (Aerial Hoops) austoben.Für schwierigere Elemente stehen Crash-Matten bereit. Zum Kraftaufbau stellen wir ein Kletterseil, Gymnastikbälle und eine Sprossenwand zur Verfügung. Wer sich in Flexibilität steigern möchte findet ebenfalls Matten, Yogawheels, -blöcke und -gurte, sowie Faszienrollen und -bälle.
Wir freuen uns sehr über neue und alte Gesichter in unserem wunderschönen Studio!
Ganz herzliche Grüße,
Lena und das gesamte Aerial Circus Team (mit Sina, Paula, Max, Josi, Anne, Anna und Mareen).",0,5.0,2 Rezensionen, aerial-circus@mail.de,http://www.aerial-circus.de,+49 15774280801,https://www.eversports.de/s/aerial-circus,2023-05-12 15:56:14
13,Studio Nienke,7522,Het Sander 43 , 7522 AL Enschede,"Bij Studio Nienke wordt al ruim 15 jaar met veel passie, kennis en vreugde dans- en paaldansles gegeven. Gezelligheid en een plek waar leden zich goed, gewaardeerd en prettig voelen staat voorop. Bij ons is iedereen gelijkwaardig. Hard werken in combinatie met veel plezier hebben is het motto.",0,4.9,39 Rezensionen, info@studio-nienke.nl,http://www.studionienke.nl,+31 654347545,https://www.eversports.de/s/studio-nienke,2023-05-12 15:56:14
14,Janardana Yoga,57600,Rue du Fahrenberg 292 , 57600 Œting,"Yoga Resort Moselle
292 Rue du Fahrenberg
﻿F-57600 Oeting
Starte mit uns gemeinsam deinen Yogaweg**
Ein ganzheitliches Programm bei dem Dein Wohlbefinden im Vordergrund steht Yoga**
In einer magischen Kulisse bieten dir unsere professionellen Yogalehrer einen qualitativ hochwertigen Unterricht in verschiedenen Yogastilen an. Im Fokus steht Ashtanga Yoga nach der anerkannten Methode von Dr. Ronald Steiner, dem Begründer der AYI Methode. Aber auch Yin Yoga, Vinyasa Yoga und Acro Yoga sind Teil unseres Spektrums.Wellness
Nach deiner intensiven Praxis kann du ganz entspannt unseren ganzjährigen beheizten Außenpool nutzen, oder den Tag mit ein paar Runden in unserer finnischen Sauna ausklingen lassen.Happiness
Wenn du nach einem auf dich und deine Ansprüche ausgerichtetes Equipment für deine Yogapraxis suchst, bieten wir dir hier ein unfangreiches Sortiment von verschiedenen Herstellern an, die Ihre Produkte nachhaltig und fair produzieren.Janārdana
Unser Retreat Zentrum im sonnigen Frankreich, ganz in der Nähe von Saarbrücken lässt keine Wünsche offen. Abgesehen von unserem umfangreichen Wellnessprogramm, kannst du die ländliche Umgebung für geführte, oder alleinige Wanderungen nutzen und deine Seele baumeln lassen. Du planst ein eigenes Event und suchst eine besondere Location? Sprich uns an, oder schreibe uns via E-Mail und teil uns deine Vorstellungen mit. Wir erarbeiten dir gerne ein personalisiertes Angebot.",0,5.0,13 Rezensionen, jana@janardana.yoga,http://www.janardana.yoga,+49 15204362188,https://www.eversports.de/s/janardana-yoga,2023-05-12 15:56:15
15,Pole and Move Ketsch,68775,Gutenbergstraße 36 , 68775 Ketsch,"Willkommen bei Pole and Move. Unser Motto 2022: Egal was passiert am Ende werden wir Tanzen. Unsere Studios befinden sich in Mannheim, Heidelberg und Ketsch und natürlich auch Online. Wir sind ein junges, dynamisches und motiviertes Unternehmen in der Sport- und Fitnessbranche, welches sich hauptsächlich auf den Polesport & Arial Arts konzentriert.
Wir freuen uns auf alle Tanz- und Sportbegeisterte, die uns einmal besuchen möchten.",0,4.9,23 Rezensionen, team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-ketsch,2023-05-12 15:56:16
16,Nordpole,22761,Mendelssohnstraße 15B , 22761 Hamburg,"DEIN STUDIO FÜR POLE & LUFTAKROBATIK IN ALTONA
Wir bieten dir kompetenten und abwechslungsreichen Unterricht in Hamburgs Westen.
Die lichtdurchfluteten Räume mit knapp 300 qm und den bis 4,30 Meter hohen Poles bieten vielfältige Entfaltungsmöglichkeiten - egal ob du erst startest oder bereits fortgeschrittener bist.",0,4.9,106 Rezensionen, team@nordpole-hamburg.de,http://nordpole.de,+49 15252414066,https://www.eversports.de/s/nordpole,2023-05-12 15:56:17
17,pure body concepts,85591,Zugspitzstr. 46a , 85591 Vaterstetten,"Wir sind ein kleines, sehr persönliches Studio mit einer großen Auswahl an Kursangeboten :-) Immer auf dem neuesten Stand: Im Moment ganz neu: BODYART",0,4.8,30 Rezensionen, info@pure-body-concepts.de,http://www.pure-body-concepts.de,015781033767,https://www.eversports.de/s/pure-body-concepts-1,2023-05-12 15:56:17
18,Pole Dance Studio Passion Hannover,30165,Büttnerstraße 22 , 30165 Hannover,"Das Pole Dance Studio Passion Hannover ist die ideale Adresse für Tanzakrobatik. Neben regelmäßigen Kursen in Poledance gibt es auch immer wieder Workshops, Schnupperkurse, Banketts, Pubs und Party-Clubs. Für die Gäste sind keinerlei Vorkenntnisse erforderlich und ein Ausstieg ist natürlich jederzeit möglich, ganz ohne Stornokosten. Trainingsstunden sind auch außerhalb der üblichen Zeiten möglich und werden auch in Polnisch angeboten.",0,4.7,13 Rezensionen,0,http://www.pole-passion.de/,0,https://www.eversports.de/s/pole-dance-studio-passion-hannover,2023-05-12 15:56:18
19,Lift Off – Poledance Academy,60314,Location (siehe Buchung) , 60314 Frankfurt am Main,"Die Lift Off – Poledance Academy bietet ihren Besuchern neue Wege, auf moderne Art fit zu werden. Hier kann man lernen, wie man mit Poledance und Mobility-Training seinen Körper gesund, stark & mobil halten kann. Die Lift Off – Poledance Academy bietet sowohl Online-Trainings an, als auch Präsenztrainings in Frankfurt & Viersen. Die Teilnehmer erwartet dabei immer eine lockere Atmosphäre.",0,4.9,30 Rezensionen,0,https://www.liftoff-poledance.de/,+49 1739474939,https://www.eversports.be/s/lift-off-poledance-academy,2023-05-12 15:56:18
20,Body meets Soul Leipzig,4159,Hüfnerstraße , 04159 Leipzig,"„Sorge dich gut um deinen Körper. Es ist der einzige Ort, den du zum Leben hast.“
– Jim Rohn –
Bei BodymeetsSoul steht nicht nur dein Körper im Mittelpunkt. Körper und Geist sind untrennbar miteinander verbunden. Egal ob Yoga oder/und Poledance – ich biete dir Bewegung bei gleichzeitiger Entschleunigung. Ich helfe dir, an deine Grenzen zu gehen, sie zu respektieren und mit ihnen zu spielen. Fordere dich, aber überfordere dich nicht. Du bist verantwortlich für deinen Erfolg – ich für den Prozess.",0,5.0,6 Rezensionen, info@bodymeetssoul-leipzig.de,http://www.bodymeetssoul-leipzig.de,+49  1573 1360379,https://www.eversports.de/s/body-meets-soul-leipzig,2023-05-12 15:56:19
21,Polemotions GP,73035,Im Pfingstwasen 1 , 73035 Göppingen,"Komm vorbei und lerne zu fliegen!
Bei Polemotions erwartet Dich mehr als wunderschöne Luftakrobatik. Wir sind eine Community voller unterschiedlicher Menschen, die alle nichts lieber tun als gemeinsam durchs Studio zu fliegen - aber jede:r auf seine eigene Art.
Wir lieben alle Facetten und Stile von Pole Dance. Du willst etwas Neues versuchen, dich mehr bewegen, abschalten, etwas Besonderes ausprobieren, auf der Bühne stehen, tanzen und die Welt um dich vergessen, selbstbewusster werden und eine neue Seite von dir entdecken? Egal, was dein Grund ist zu uns ins Studio zu kommen - jeder Grund ist der richtige um Pole Dance anzufangen und wir freuen uns auf Dich!
Werde Teil unserer Polemotions Family und lass dich von unserem Luftakrobatik-Fieber anstecken.",0,5.0,22 Rezensionen, sandra@polemotions.de,http://www.polemotions-gp.de,0,https://www.eversports.de/s/polemotions-gp,2023-05-12 15:56:19
22,Janine Hollung,55116,Klarastraße 4 , 55116 Mainz,"Für Aerial-Kurse:
· Hot Pants um sich bei Climbings mit den Beinen an der Pole festhalten zu können
· lange Sporthose ohne Metall (Knöpfe/Reissverschlüsse) zum Aufwärmen
· Sport-BH ohne Bügel
· Handtuch
Wichtig:
· Vor dem Trainieren bitte keine Handcreme und Bodylotion, da so der Halt an der Stange verloren geht
· Keine Ringe, da sonst die Stange zerkratzt wird
· Hilfsmittel: Gegen schwitzende Hände und somit für einen besseren Grip hilft Magnesia ( Magnesiumoxid ). Zur Hemmung des Abgleitens an den Beinen bieten Haarlack oder Rasiergel besseren Halt. Die Stange sollte immer wieder mit Alkohol oder Glasreiniger gesäubert werden.",0,5.0,4 Rezensionen, j.hollung@web.de,http://www.janinepole.fit,+49 17662572496,https://www.eversports.de/s/janine-hollung,2023-05-12 15:56:20
23,Tanzteufel,79312,Karl-Friedrich-Straße 76 , 79312 Emmendingen,"In den beiden großen und offenen Studios in Emmendingen und Denzlingen, nur wenige Kilometer nördlich von Freiburg, unterrichten zertifizierte und qualifizierte Trainerinnen Poledance, Polefitness, Chair Dance und Aerial Hoop (ein an der Decke befestigter Metall-Ring).
Für die Poledance-Kurse stehen acht hochwertige Poles für die Kursteilnehmer zur Verfügung, jeder trainiert alleine an einer Stange. Zudem gibt es eine zusätzliche Trainerstange.
Der Wohlfühlfaktor spielt bei Tanzteufel eine sehr große Rolle. Auch kommt es nicht auf das Alter, Gewicht und Aussehen an; viel wichtiger ist es, Spaß an der Sache zu haben, ohne jeglichen Erfolgsdruck.
Beim Poledance/Polefitness trainiert man den ganzen Körper, denn es fördert den Kraftaufbau, die Ausdauer, Körperbeherrschung und Flexibilität. Ein solches Zusammenspiel findet man in kaum einer anderen Sportart, was das Poledance zu etwas ganz Besonderem macht.",0,4.9,36 Rezensionen, info@tanzteufel-poledance.com,http://www.tanzteufel-poledance.com,+49 162 7817549,https://www.eversports.de/s/tanzteufel,2023-05-12 15:56:21
24,Poleaddict,4758,Wettinstraße 1 , 04758 Oschatz,"In unseren großräumigen Studio mit 8 Competitionpoles bieten wir Anfänger-Mittelstufenpoledancekurse , Fit for Pole Kurse, Flexibility und Rent your Pole... ihr lernt Alles, was für ein gesunden Trainingsaufbau & den Grundstein für ein eigenes, selbstbestimmtes Training wichtig sind. Außerdem bieten wir Zumba und StrongNation Bodyweight Kurse.",0,0.0,(Noch keine Bewertungen), info@bs-kosmetikstudio.de,0,+49 17621201129,https://www.eversports.de/s/poleaddict,2023-05-12 15:56:21
25,PoleathletiX,29227,Industriestraße 10 , 29227 Celle,"Du liebst das Tanzen und Poledance, oder bist auf der Suche nach einem idealen Ort, um diesen Sport zu erlernen und zu trainieren? Dann bist du beim PoleathtetiX in Altencelle genau richtig, denn hier bekommst du die Möglichkeit, in einer angenehmen und motivierenden Atmosphäre, Poledance mithilfe von professioneller Betreuung zu erlernen! Dafür stehen dir im PoleathletiX zahlreiche Poledance-Stangen zur Verfügung. Komme ins PoleathletiX und erreiche hier deine persönlichen Trainingsziele!",0,4.9,29 Rezensionen, mail@poleathletix.de,http://www.poleathletix.de,+4915111003331,https://www.eversports.de/s/poleathletix,2023-05-12 15:56:22
26,Polefamily-Koblenz,56068,Löhrstraße 48 , 56068 Koblenz,"Das kleine familiäre Poledance und Kurs Studio mitten in Koblenz bietet alles, was dein Herz begehrt. Von klassischen Poledance Stunden zu anspruchsvollen Workouts sowie entspannten Aerial Yoga Kursen. Das Besondere des Studios Polefamily-Koblenz ist, dass es eine sehr begrenzte Teilnehmerzahl bei den Kursen bietet. So kann während des Trainings auf jeden einzelnen Teilnehmer eingegangen werden.",0,5.0,20 Rezensionen, Info@polefamily-koblenz.de,http://www.Polefamily-Koblenz.de,+4917662680953,https://www.eversports.de/s/polefamily-koblenz,2023-05-12 15:56:22
27,Tanzstudio Michel,55252,Schmalweg 50, 55252 Wiesbaden,"Das etablierte Tanzstudio in Wiesbaden bietet professionelles Tanztrainig und Kurse zum fit werden. Ein heller, geräumiger, eigens für den Tanzunterricht gestalteter Trainingssaal ist bereit dir alle Möglichkeiten zu bieten noch besser zu werden. Tanz und Schönheit der Bewegung – hier sind diese zwei Begriffe untrennbar.",0,5.0,1 Rezensionen, t.michel.9@gmx.de,https://www.tanzstudio-michel.de/,+49 15115125871,https://www.eversports.de/s/tanzstudio-michel,2023-05-12 15:56:23
28,UpsideDown Studio Bad Homburg,61348,Louisenstraße 98 , 61348 Bad Homburg vor der Höhe,"Das Studio UpsideDown ist in Bad Homburg vor der Höhe zu finden. Interessierte können Aerial Hoop (Luftkünste), Poledance, Stretch und Relax trainieren. Für Freiluftenthusiasten ist ein Outdoor-Training, eine Kombination aus Kraft und Ausdauer, möglich. Aerial Hoop wird in luftiger Höhe praktiziert und kommt einem Flug durch die Lüfte sehr nahe. Im Studio UpsideDown können Neueinsteiger ihre Fitness auf akrobatische Weise auf die Probe stellen.",0,5.0,18 Rezensionen,0,https://www.upsidedown-studio.de/,+491724519252,https://www.eversports.be/s/upsidedown-studio-bad-homburg,2023-05-12 15:56:23
29,Pole and Move Heidelberg,69214,Hauptstraße 58, 69214 Eppelheim,"Willkommen bei Pole and Move. Unser Motto 2022: Egal was passiert am Ende werden wir Tanzen. Unsere Studios befinden sich in Mannheim, Heidelberg und Ketsch und natürlich auch Online. Wir sind ein junges, dynamisches und motiviertes Unternehmen in der Sport- und Fitnessbranche, welches sich hauptsächlich auf den Polesport & Arial Arts konzentriert.
Wir freuen uns auf alle Tanz- und Sportbegeisterte, die uns einmal besuchen möchten.",0,5.0,14 Rezensionen, team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-heidelberg,2023-05-12 15:56:24
30,Stadtgazellen Bremen,28217,Bremerhavener Straße 210 , 28217 Bremen,"Dein Studio für Poledance und Luftakrobatik in Bremen! In unserem wunderschönen Studio mit Loftcharakter bieten wir euch Pole Dance und Aerial Fitness Kurse auf höchstem Niveau. Unsere professionell ausgebildeten Trainer unterrichten euch in Kleingruppen um ein gesundheitsorientiertes, qualitativ hochwertiges Fitness- und Tanztraining mit viel Spaß zu bieten. Jedem Teilnehmer steht ein eigenes Luftakrobatikgerät zur Verfügung. Auf 300qm Fläche findet ihr zwei Kursräume und einen großzügigen Umkleidebereich mit Kaffeeküche und Lounge. Ausreichend kostenlose Parkplätze stehen euch um das Studio herum zur Verfügung.",0,4.9,70 Rezensionen, info@poledance-bremen.de,http://www.poledance-bremen.de,+4915154033605,https://www.eversports.de/s/stadtgazellen-bremen,2023-05-12 15:56:25
31,Polestructions,53229,Auguststraße 8, 53229 Bonn,"Polestructions ist ein Poledance Studio in Bonn. Hier findest Du Kurse in Pole Fitness und Luftakrobatik (Aerial Silk und Aerial Hoop). Weitere Kurse im vielfältigen Angebot sind Stretch & Contortion, Floorwork, Chair Dance, Acroyoga und Jumping. Interessiert? Für 10 Euro kannst du jederzeit eine Probestunde in der Auguststraße in Bonn-Beuel besuchen. Bei Polestructions gibt es auch regelmäßig dreistündige Workshops, damit sich eine längere Anfahrt lohnt.",0,4.9,154 Rezensionen, info@polestructions.com,https://polestructions.com/,+49 178 605 80 30,https://www.eversports.de/s/polestructions,2023-05-12 15:56:25
32,Polemotions Filderstadt,70794,Tübinger Straße 10 , 70794 Filderstadt,"Komm vorbei und lerne zu fliegen!
Bei Polemotions erwartet Dich mehr als wunderschöne Luftakrobatik. Wir sind eine Community voller unterschiedlicher Menschen, die alle nichts lieber tun als gemeinsam durchs Studio zu fliegen - aber jede:r auf seine eigene Art.
Wir lieben alle Facetten und Stile von Pole Dance. Du willst etwas Neues versuchen, dich mehr bewegen, abschalten, etwas Besonderes ausprobieren, auf der Bühne stehen, tanzen und die Welt um dich vergessen, selbstbewusster werden und eine neue Seite von dir entdecken? Egal, was dein Grund ist zu uns ins Studio zu kommen - jeder Grund ist der richtige um Pole Dance anzufangen und wir freuen uns auf Dich!
Werde Teil unserer Polemotions Family und lass dich von unserem Luftakrobatik-Fieber anstecken.",0,4.8,41 Rezensionen, info@polemotions.de,https://polemotions.de/,0,https://www.eversports.de/s/polemotions-filderstadt,2023-05-12 15:56:26
33,Polefly Academy,86167,Bürgermeister-Wegele-Straße 6A , 86167 Augsburg,"Polefly Academy - dein ""place to be"" in Augsburg, wo du die Schwerkraft tanzend überwinden wirst.
Wir bieten Pole Dance Stunden an und fokussieren uns dabei auf den tänzerischen Stil. Bei uns trainierst du in den Leveln Anfänger, Mittelstufe und Fortgeschrittenen in einer festen Gruppe und wir lernen gemeinsam Choreographien, die mit der Zeit immer anspruchsvoller werden. Ebenso bieten wir Spezialkurse (z.B. Floorwork und Exotic), Workshops und Junggesellinnenabschiede an. Auch abseits der Pole wirst du bei uns sicherlich fündig. Unser Kursangebot aus den Bereichen Yoga, Stretching und Fitness wird stetig erweitert. Komm gerne vorbei, wir freuen uns :-)",0,5.0,2 Rezensionen, office@polefly-academy.de,0,0,https://www.eversports.de/s/polefly-academy,2023-05-12 15:56:26
34,Seemannsbraut Poledance,24941,Ochsenweg 27-29 , 24941 Flensburg,"Moin und willkommen an Bord in unserem Poledance Studio Seemannsbraut.
Auf 200qm kannst du dich in unserem maritimen Studio so richtig auspowern und mit viel Freude deinem Hobby nachgehen. Hier findest du alles, was dein Tänzerherz sich wünscht.
Aufgeteilt in 2 Trainingsräumen bieten wir dir neben 9 Poledance Stangen auch Aerial Silk, Aerial Hoop und viele andere Kurse an, die dich zum schwitzen bringen und bei denen du mit viel Spaß deine Flexibilität verbessern, sowie deine Kondition und Kraft aufbauen kannst.
Polesport, Klimmzugstangen, Sprossenwände, Gewichte, Yoga und viele andere Kurse mit unserer tollen Trainercrew warten auf dich.
Unsere qualifizierten Trainer stehen dir jederzeit mit Rat und Tat zur Seite und helfen dir, dich stetig zu verbessern und Erfolgserlebnisse zu erzielen.
In unserer maritimen Lounge kannst du Getränke und Snacks zu dir nehmen und in unserem Shop stöbern.
Für dich stehen 2 Umkleiden und sanitäre Anlagen bereit.
Schau mal rein und werde ein Teil der Seemannsbraut- Familie. Egal ob Mann, Frau oder Divers, bei uns an Bord ist jeder willkommen. Auch das Alter spielt keine Rolle.
Wir freuen uns auf dich!
Komm an Bord.
Unsere Mitgliedschaften kannst du vor Ort im Studio abschließen oder schreibe uns eine mail. Mit den ALL Inclusive Mitgliedschaften kannst du alle Angebote unbegrenzt buchen.
Alternativ haben wir auch ALL Inclusive 10-er Karten für dich.",0,4.9,34 Rezensionen, seemannsbraut-poledance@web.de,http://www.seemannsbraut-poledance.de,0,https://www.eversports.de/s/seemannsbraut-poledance,2023-05-12 15:56:27
