"Pole Studio","Stadt","Land","Adresse","PLZ","Telefonnummer","E-Mail-Adresse","Webseite","Facebook","Instagram","Art","ID","Angebot","Beschreibung","Updated Date","Owner","Created Date","Bildergalerie","Richtigkeit der Angaben","Pole Studios (Pole Studio)","Online Studios (Pole Studio)","Inaktiv","Löschvermerk"
"Wildheart Yoga & Pole Dance","Waldstetten","Deutschland","{""subdivisions"":[{""code"":""BW"",""name"":""Baden-Württemberg"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Süd"",""name"":""Stuttgart"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Waldstetten"",""name"":""Waldstetten"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Waldstetten"",""location"":{""latitude"":48.7294119,""longitude"":9.8106995},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""48"",""name"":""Zur Vorstatt"",""apt"":""""},""formatted"":""Zur Vorstatt 48, 73550 Waldstetten, Deutschland"",""country"":""DE"",""postalCode"":""73550"",""subdivision"":""BW""}","73550","'+49 015753044192","info@wildheartyogapole.de","https://wildheartyogapole.de/de_de/","http://""unbekannt""","http://""unbekannt""","Pole Studio","0aaeeb7d-1697-4546-ab33-624f00c720b5",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/wildheart-yoga-%26-pole-dance","/onlinestudio/wildheart-yoga-%26-pole-dance",,
"Polestation Academy","Hard","Österreich","{""formatted"":""Marktstraße 20b , 6971 Hard, Österreich""}","6971","0664 2006568","blum.n@gmx.at","https://www.polestation.com/","https://www.facebook.com/polestationhoechst","https://www.instagram.com/polestation_academy/","Pole Studio","0b7a4f5d-d158-4cfb-8aa3-fdfa209baa41",,,2023-09-18T12:39:03Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2023-05-03T14:14:27Z,,,"/polestudio/polestation-academy","/onlinestudio/polestation-academy",,
"INDEED UNIQUE - Studio Wien","Wien","Österreich","{""formatted"":""Kranzgasse 9 , 1150 Wien""}","1150","'+43 677 644 841 60
+43 677 643 915 43","indeed.unique@gmail.com","https://www.indeedunique.com/","https://www.facebook.com/Indeedunique","https://www.instagram.com/indeedunique_/","Pole Studio","0bd01779-bf46-4ff6-ae91-61fdeafc9906",,,2023-09-18T12:38:15Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2023-05-03T14:14:27Z,,,"/polestudio/indeed-unique---studio-wien","/onlinestudio/indeed-unique---studio-wien",,
"Polefitness by Sophie M.","Schwarzenberg","Deutschland","{""subdivisions"":[{""code"":""SN"",""name"":""Sachsen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Lauter-Bernsbach"",""name"":""Lauter-Bernsbach"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Lauter-Bernsbach"",""location"":{""latitude"":50.5627503,""longitude"":12.7481141},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""46"",""name"":""Hauptstraße"",""apt"":""""},""formatted"":""Hauptstraße 46, 08312 Lauter-Bernsbach, Deutschland"",""country"":""DE"",""postalCode"":""08312"",""subdivision"":""SN""}","8312","01516 5110424","polefitness-schwarzenberg@web.de","https://sophies-polefitness.de/","https://www.facebook.com/polefitnessbysophiem/","https://www.instagram.com/polefitness_bysophiem/","Pole Studio","0bd87008-d488-405e-a09c-40c1dc824266",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/polefitness-by-sophie-m.","/onlinestudio/polefitness-by-sophie-m.",,
"Unique Studios Schweinfurt","Schweinfurt","Deutschland","{""subdivisions"":[{""code"":""BY"",""name"":""Bayern"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Unterfranken"",""name"":""Unterfranken"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Schweinfurt"",""name"":""Schweinfurt"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Schweinfurt"",""location"":{""latitude"":50.04095269999999,""longitude"":10.2242884},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""17"",""name"":""Luitpoldstraße"",""apt"":"""",""formattedAddressLine"":""Luitpoldstraße 17""},""formatted"":""Luitpoldstraße 17, 97421 Schweinfurt, Deutschland"",""country"":""DE"",""postalCode"":""97421"",""subdivision"":""BY""}","97421","0170 5218512","info@uniquestudios.de ","https://www.uniquestudios.de/","https://www.facebook.com/polefitness.wuerzburg","https://www.instagram.com/uniquestudios.de/","Pole Studio","0c877bb7-2545-4c83-9190-bcdbdc1cc953",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/unique-studios-schweinfurt","/onlinestudio/unique-studios-schweinfurt",,
"Poledance 4 You","Berlin","Deutschland","{""subdivisions"":[{""code"":""BE"",""name"":""Berlin"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Berlin"",""name"":""Berlin"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Berlin"",""location"":{""latitude"":52.5442973,""longitude"":13.438103},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""14"",""name"":""Naugarder Straße"",""apt"":""""},""formatted"":""Naugarder Str. 14, 10409 Berlin, Deutschland"",""country"":""DE"",""postalCode"":""10409"",""subdivision"":""BE""}","10409","01575 8498415","info@poledance4you.de","https://www.poledance4you.de/","https://www.facebook.com/poledance4you.de/","https://www.instagram.com/poledance4you/","Pole Studio","0d1bf25b-8c3b-4329-ad31-4db9af763cba",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/poledance-4-you","/onlinestudio/poledance-4-you",,
"Luftbonbon","Bad Oeynhausen","Deutschland","{""formatted"":""Königstraße 45 , 32547 Bad Oeynhausen""}","32547","01622572081","info@luftbonbon.com","https://www.luftbonbon.com/","https://www.facebook.com/people/Luftbonbon-Luftakrobatik-Bad-Oeynhausen/100082950021607/","https://www.instagram.com/luft.bonbon/","Pole Studio","0d60eea6-11b5-41cd-a5b3-cbc750cc685a",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2023-05-03T15:31:32Z,,,"/polestudio/luftbonbon","/onlinestudio/luftbonbon",,
"exQUIsuite","Bielefeld","Deutschland","{""subdivisions"":[{""code"":""NRW"",""name"":""Nordrhein-Westfalen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Detmold"",""name"":""Detmold"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""BI"",""name"":""Bielefeld"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Bielefeld"",""location"":{""latitude"":52.0168463,""longitude"":8.5252583},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""3"",""name"":""Gadderbaumer Straße"",""apt"":""""},""formatted"":""Gadderbaumer Str. 3, 33602 Bielefeld, Deutschland"",""country"":""DE"",""postalCode"":""33602""}","33602","01575 1704132","office@exquisuite.de","http://exquisuite.de/","https://www.facebook.com/exquisuite.studio","https://www.instagram.com/exquisuite/","Pole Studio","0e006a25-fdec-415c-a6bf-9e7ede99f5b2",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/exquisuite","/onlinestudio/exquisuite",,
"Pole Emotion Bremerhaven","Bremerhaven","Deutschland","{""subdivisions"":[{""code"":""HB"",""name"":""Bremen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Bremerhaven"",""name"":""Bremerhaven"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Bremerhaven"",""location"":{""latitude"":53.5429818,""longitude"":8.580009},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""31"",""name"":""Bürgermeister-Smidt-Straße"",""apt"":""""},""formatted"":""Bürgermeister-Smidt-Straße 31, 27568 Bremerhaven, Deutschland"",""country"":""DE"",""postalCode"":""27568"",""subdivision"":""HB""}","27568","0176 46600631","poleemotion@hotmail.com","https://www.poleemotion-bremerhaven.de/","http://""www.facebook.com/people/poleemotion_bhv/100076540896385/""","https://www.instagram.com/poleemotion_bhv/?hl=de","Pole Studio","0ede445d-7690-4767-b3b4-fe58109601d5",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/pole-emotion-bremerhaven","/onlinestudio/pole-emotion-bremerhaven",,
"PoleGarage Hagen","Hagen","Deutschland","{""subdivisions"":[{""code"":""NRW"",""name"":""Nordrhein-Westfalen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Arnsberg"",""name"":""Arnsberg"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Hagen"",""name"":""Hagen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Hagen"",""location"":{""latitude"":51.3536896,""longitude"":7.479815799999999},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""10"",""name"":""Dödterstraße"",""apt"":""""},""formatted"":""Dödterstraße 10, 58095 Hagen, Deutschland"",""country"":""DE"",""postalCode"":""58095""}","58095","01514 2471116","info@polegarage.de","https://polegarage.de/","https://www.facebook.com/polegarage/","https://www.instagram.com/polegarage.hagen.iserlohn/","Pole Studio","0f35d238-dab9-442e-93a2-8665dd705fab",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/polegarage-hagen","/onlinestudio/polegarage-hagen",,
"Pole Dance Beauties","Halle","Deutschland","{""subdivisions"":[{""code"":""SA"",""name"":""Sachsen-Anhalt"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Halle (Saale)"",""name"":""Halle (Saale)"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Halle (Saale)"",""location"":{""latitude"":51.4681466,""longitude"":11.9922804},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""9"",""name"":""Edmund-von-Lippmann-Straße"",""apt"":""""},""formatted"":""Edmund-von-Lippmann-Straße 9, 06112 Halle (Saale), Deutschland"",""country"":""DE"",""postalCode"":""06112"",""subdivision"":""SA""}","6112","0179 7553246","kontakt@poledancebeauties.de","https://www.poledancebeauties.de/","https://www.facebook.com/poledancebeauties/","https://www.instagram.com/poledancebeauties_halle/?hl=de","Pole Studio","100e820f-da27-411d-b87d-681ae514e9e0",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/pole-dance-beauties","/onlinestudio/pole-dance-beauties",,
"Freaky Pole Cats Schwandorf","Schwandorf","Deutschland","{""subdivisions"":[{""code"":""BY"",""name"":""Bayern"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Oberpfalz"",""name"":""Oberpfalz"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Schwandorf"",""name"":""Schwandorf"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Schwandorf"",""location"":{""latitude"":49.3160027,""longitude"":12.1504075},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""1"",""name"":""Am Ahornhof"",""apt"":""""},""formatted"":""Am Ahornhof 1, 92421 Schwandorf, Deutschland"",""country"":""DE"",""postalCode"":""92421"",""subdivision"":""BY""}","92421","01516 4062755","freakypole@gmail.com","https://www.freaky-pole-cats.de/","https://www.facebook.com/FreakyPoleCats/","https://www.instagram.com/freakypolecats/","Pole Studio","13688631-22b7-4bdb-a2f5-0fa1956454eb",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/freaky-pole-cats-schwandorf","/onlinestudio/freaky-pole-cats-schwandorf",,
"Glow Sports Club","Gottmandingen","Deutschland","{""subdivisions"":[{""code"":""BW"",""name"":""Baden-Württemberg"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Freiburg"",""name"":""Freiburg"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Gottmadingen"",""name"":""Gottmadingen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Gottmadingen"",""location"":{""latitude"":47.7385048,""longitude"":8.7861698},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""201"",""name"":""Industriepark"",""apt"":""""},""formatted"":""Industriepark 201, 78244 Gottmadingen, Deutschland"",""country"":""DE"",""postalCode"":""78244"",""subdivision"":""BW""}","78244","0171 6444114","info@glowsportsclub.de","https://glowsportsclub.de/","https://www.facebook.com/profile.php?id=100076824474181","https://www.instagram.com/glow_sportsclub/","Pole Studio","14800fd6-3c84-48d8-a48a-43a439706836",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/glow-sports-club","/onlinestudio/glow-sports-club",,
"Aerial Circus","Leipzig","Deutschland","{""subdivisions"":[{""code"":""SN"",""name"":""Sachsen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Leipzig"",""name"":""Leipzig"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Leipzig"",""location"":{""latitude"":51.3243632,""longitude"":12.3344119},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""79B"",""name"":""Zschochersche Straße"",""apt"":""""},""formatted"":""Zschochersche Straße 79B, 04229 Leipzig, Deutschland"",""country"":""DE"",""postalCode"":""04229"",""subdivision"":""SN""}","4229",,"aerial-circus@mail.de","https://aerial-circus.de/","https://www.facebook.com/profile.php?id=100063614316281","https://www.instagram.com/aerialcircus.leipzig/?hl=de","Pole Studio","14ab1496-f2c3-420b-a226-f481da0ebeb7",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/aerial-circus","/onlinestudio/aerial-circus",,
"Yoga and Pole Art by Selina",,"Deutschland",,,"015738925807",,"https://www.yogaandpoleartbyselina.com/",,,"Online Studio","14d3a173-6611-40bb-beba-022dd23765ed",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-12-02T19:13:47Z,,,"/polestudio/yoga-and-pole-art-by-selina","/onlinestudio/yoga-and-pole-art-by-selina",,
"Dance Department","Oelde","Deutschland","{""subdivisions"":[{""code"":""NRW"",""name"":""Nordrhein-Westfalen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""MS"",""name"":""Münster"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Oelde"",""name"":""Oelde"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Oelde"",""location"":{""latitude"":51.8050164,""longitude"":8.194528399999998},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""2"",""name"":""Im Vogeldreisch"",""apt"":""""},""formatted"":""Im Vogeldreisch 2, 59302 Oelde, Deutschland"",""country"":""DE"",""postalCode"":""59302""}","59302","0176 21482561","INFO@DANCE-DEPART-MENT.COM","https://dance-depart-ment.com/","https://www.facebook.com/dancedepartment.stromberg/?fref=ts","https://www.instagram.com/dance_department_stromberg/","Pole Studio","14d516f8-72f4-414e-9d83-83c14729e98d",,,2023-05-22T17:46:06Z,"284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,,,"/polestudio/dance-department","/onlinestudio/dance-department",,
