"Name","Art","Inaktiv","Datum","Owner","Webseite","Uhrzeit","Enddatum","Level","Preis","Dauer","Kategorie","Beschreibung","Trainer","Anbieter","Pole Studio","Stadt","Land","Kurzbeschreibung","Schwerpunkte","Titelbild","Portfolio","Favoriten","Created Date","Löschvermerk","ID","Updated Date","Trainerbeschreibung","Trainerbild","Richtigkeit der Angaben","Bilder inkludiert","Kosten pro Bild","Events (All)","Events (Name)"
"Pilonia Camp Sri Lanka","Pole Camp",true,"2023-11-16","284241e1-0e53-4183-b67f-34edcfb7c8b1","http://poledancecamp.com/smena36",,"2023-11-26",,"ab 1290 $",,,"<p>Training and recreation</p><p>We make the program in such a way that you would <span style=""font-weight:bold"">not only train</span>, but also rest. So we use the <span style=""font-weight:bold"">2+1 </span>system.<br/><br/>This means that you will have an alternation:<br/><br/><span style=""font-weight:bold"">Two</span> training days → Rest <span style=""font-weight:bold"">day</span> → <span style=""font-weight:bold"">Two </span>training days → Rest <span style=""font-weight:bold"">Day</span>, etc.<br/><br/>This helps you recover from intense workouts and relax (go for a ride on the board or just relax in the hotel).</p><p> </p><p>About training</p><p>Every training day, you will have 6 - 7 hours of classes!<br/><br/>Two training areas are waiting for you: 9 Pole4You poles, and a platform  yoga, stretching, acrobatics, etc.</p><p> </p><p>About recreation</p><p>We organize your leisure time. This means that both after training and during the rest days you will have something to do.</p><ul><li>Ocean in 2 - 3 minutes on foot</li><li>Nice sandy beach</li><li>Barbecue party</li><li>Surfing</li></ul><p>In 2020, we plan to visit: The best beach in Sri - Lanka; Palm Grove; Lighthouse; Safari Park; Nine-arch Bridge; Small Adam Peak...</p><p>And this is not all that awaits you!</p><p> </p><p>About the location</p><p>We will stay in Unawatuna, a coastal town that is ~2x hours away from Colombo.<br/><br/>You will live in a mini-hotel 2-3 minutes walk from the ocean. You will have a closed area at your disposal, where only we will be located.<br/><br/>There are many restaurants, cafes and shops around, and there are also cheap exotic fruits and seafood.<br/><br/>And of course, a sparsely populated sandy beach…</p>","<p>.</p>","Pilonia",,"Sri Lanka","Sri Lanka","Experienced coaches, incendiary parties, new acquaintances, dancing around the campfire on the shore of the night sea… Are you with us?",,,,,2023-08-23T12:25:13Z,,"450c092e-5588-4da9-8e50-5465def640df",2023-11-19T08:49:00Z,,,true,,,"/workshop/","/event/pilonia-camp-sri-lanka"
"Selinas Pole Essentials Online Workshop","Workshop",,"2023-12-19","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/YxsVIs4","18:30 - 20:00 Uhr",,"Advanced","ab 44,00 €",,"Pole Tricks & Technik","<p class=""font_8"">In diesem Workshop zeige ich dir meine allerliebsten, aktuellen und wichtigen Pole Grundlagen Tricks, die sich für Combos eignen. Die Tricks sind meistens einem Level 2-3 Niveau zuzuordnen. Ich zeige dir unterschiedliche Tricks mit unterschiedlichen Varianten und Schwierigkeitsstufen, damit du Figur deinem Leistungsniveau anpassen kannst.</p>","<p class=""font_8"">Selina</p>",,"14d3a173-6611-40bb-beba-022dd23765ed","Online","Deutschland",,,,,,2023-12-03T19:12:33Z,,"46780739-e66a-476d-af9f-b8a122fcab7f",2023-12-03T19:16:53Z,,,,,,"/workshop/","/event/selinas-pole-essentials-online-workshop"
"WORKSHOP: Pole Doubles (Anfänger)","Workshop",,"2023-12-17","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/OoKAzBP","13:45 - 14:45 Uhr",,"Beginner","ab 18,00 €",,"Pole Double",,"<p class=""font_8"">Pia</p>",,"b394d11b-835d-4214-8945-2ca9977ebf82","Ludwigsburg","Deutschland",,,,,,2023-10-29T11:34:25Z,,"46b16874-9eed-4881-b405-54d016da450c",2023-11-01T14:02:04Z,,,,,,"/workshop/","/event/workshop%3A-pole-doubles-(anf%C3%A4nger)"
"Split Tricks - Spreadies to the Gods (intermediate)","Workshop",,"2024-01-27","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/_tC1Os0","13:30 - 14:45 Uhr",,"Intermediate","ab 60,00 €",,"Flexy Pole","<p class=""font_8"">Spreadies to the Gods!</p>","<p class=""font_8"">Mareen</p>",,"3b86208c-387d-404f-b1d3-c28b6ea3632a","Hamburg","Deutschland",,,,,,2023-12-03T19:12:33Z,,"47166c18-2262-4f87-b6dd-7c31e06d84e2",2023-12-03T19:13:38Z,,,,,,"/workshop/","/event/split-tricks---spreadies-to-the-gods-(intermediate)"
"Aerial Loops Workshop","Workshop",,"2024-01-13","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/5Qka0Ok","13:00 - 14:30 Uhr",,"Intermediate","ab 35,00 €",,"Aerial Art (no pole)","<p class=""font_8"">Aerial Loops or Straps loops are a relatively new art of aerial acrobatics. Whats that? These are 2 long loops hanging from the roof and offers you nice & playfull combinations in the air. Simply as aerial hammock or silk - but different.</p>","<p class=""font_8"">Joana</p>",,"caeb8b6e-1459-428f-ba21-d6fa39cd2052","Aachen","Deutschland",,,,,,2023-10-29T11:34:25Z,,"48f97618-0bbd-4805-aabc-940a3c3e23eb",2023-11-01T14:02:04Z,"<p class=""font_8"">Profi durch & durch. Joana ist freiberufliche Tänzerin und Luftakrobatin.Die gebürtige Kanadierin studierte Tanz an der Fontys Tanzakademie in Tilburg und ist seit ihrem erfolgreichen Abschluss in 2008 in Musicals und Opern, auf Festivals und verschiedenen anderen Bühnen zu sehen.

Ihr Einstieg in die Luftakrobatik war ein Pole Dance Intensivkurs Anfang 2013. Ein paar Jahre später fügte sie weitere Schwerkrafttrotzende Disziplinen hinzu, wie z.B. Aerial Hoop, Silks und Net. In ihrer Arbeit liebt sie Herausforderungen und Nervenkitzel, im Privaten ist sie eher ruhig und besonnen. Sie legt gerne den Schwerpunkt in ihren Kursen auf effizientes und bewusstes Koordinieren in der Luft und auf dem Boden.

Teaching language: German, English & Dutch</p>",,,,,"/workshop/","/event/aerial-loops-workshop"
"Exotic Dance mit Becky*","Workshop",,"2023-12-09","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/rH3czsd","14:30 - 16:30 Uhr",,"Alle Level","ab 55,00 €",,"Pole & Heels","<p class=""font_8"">Exotic Dance mit Becky Der perfekte Kurs für alle Neueinsteigerinnen, für Damen die sich noch für keine Stilrichtung festlegen möchten oder diejenigen, die ein „Best of“ erleben möchten. Natürlich auch für alle unsere lieben Damen, die etwas Neues ausprobieren wollen. Exotic Dance mit Becky_ Let´s Dance and Tease Kurs – Choreographie Kurs Level: Engagierte Anfängerinnen &amp; etwas erfahrene Schönheitstänzerinnen und alle, die Lust auf eine neue sinnlich-schöne Choreo haben.</p>","<p class=""font_8"">Becky</p>",,"aff95b8f-66f1-49f0-997e-ff70484a05c7","Berlin","Deutschland",,,,,,2023-12-03T19:12:33Z,,"490b38a2-4134-4a51-b761-677baaf76b68",2023-12-03T19:16:38Z,,,,,,"/workshop/","/event/exotic-dance-mit-becky*"
"CrazyPole Instructor für 'Grundlagen'","Ausbildung",true,"2023-11-18","3efc9f4d-7bc4-4ce2-a470-a4f6228b3b13","https://www.crazypole-instructor.com/Grundlagen-des-Unterrichtens","10:00 - 16:00 Uhr","2023-11-19","Alle Level","499,- ","2x 6 Stunden","Special","<p>Werde Poledance Trainer*in<br/>-ONLINE AUSBILDUNG-<br/>Anmeldeschluss: 10.11.2023</p><p> </p><p>- international anerkannte &amp; zertifizierte Poledance Trainer Ausbildung<br/>- profitiere von über 13 Jahren Erfahrung im Unterrichten von Poledance<br/>- Ausbildung in Kleingruppen<br/>- Zugang zum Trainer Login mit Videos zu den Kursinhalten<br/>- du wirst als Standort auf der Website gelistet</p><p> </p><p>Zielgruppe<br/>Die  Ausbildung &#x27;Grundlagen des Unterrichtens&#x27; richtet sich an  Poledance  Trainer Neulinge, als auch an Trainer, die bereits Poledance schon  länger unterrichen, allerdings noch keine Poledance Trainer Ausbildung  durchlaufen haben.</p><p> </p><p>Alle Infos um die Voraussetzungen und den Ablauf findest du auf der Website: <br/>Infos zur Ausbildung:<br/><span style=""text-decoration:underline""><a href=https://www.crazypole-instructor.com/Grundlagen-des-Unterrichtens?fbclid=IwAR3H4Vjme08rAbexHqenwfoq2iuDHA8nkAPJJFInfGFlOW6sQsWM13oVg10 target=_blank>https://www.crazypole-instructor.com/Grundlagen-des...</a></span><br/>Infos Voraussetzungen: <br/>https://<span style=""text-decoration:underline""><a href=https://www.crazypole-instructor.com/voraussetzungen-grundlagen?fbclid=IwAR2qhJ5BfJ8w5U_WqdVgsTLoquG-vHdyGwUxeSr7EW94kFJBCpKu9hjDiTM target=_blank>https://www.crazypole-instructor.com/voraussetzungen...</a></span><br/>Anmeldung:<br/><span style=""text-decoration:underline""><a href=https://www.crazypole-instructor.com/anmeldung?fbclid=IwAR0LKLRBzOTTkVTHGEUV09RtvBVcyHCk5UWb7Vs9ZHbt104xrvhugspPdls target=_blank>https://www.crazypole-instructor.com/anmeldung</a></span></p><p> </p><p>Die Ausbildung umfasst 4 Stufen:<br/>- Bewerbung um einen Ausbildungsplatz mittels eines ungeschnittenen Video mit den Grundvoraussetzungen<br/>- 2-tägige Präsenzphase (Online) mit Lernerfolgskontrolle am 2. Tag<br/>- 3 Monate Selbststudium, um die theoretischen Lehrinhalte und Lehrmethoden in der Praxis zu üben und zu festigen<br/>- Praktische Prüfung (Lehrprobe wird als Video max. 3 Monate nach Selbststudium zugesandt)</p><p> </p><p>Die Ausbildung findet online statt. Die Ausbildungsunterlagen werden vorab per Post zugeschickt.<br/>Wir treffen uns via Zoom.<br/>Die theoretische Prüfung wird online absolviert und die praktische Prüfung anhand von Videos im Nachhinein.<br/>Nach Bestehen beider Prüfung erhält der Teilnehmer ein Zertifikat.</p>","<p>Alina Schmidt-Buttke</p>",,"efd0801d-b355-420d-a97d-84cb5fb0479d","Online","Deutschland",,"<ul><li>Grundlagen der Anatomie (aktiver &amp; passiver Bewegungsapparat)</li><li>Sicherheit beim Poledance</li><li>Stundenaufbau &amp; Methoden des Unterrichtens (POLE-Methode)</li><li>Hilfestellung &amp; Spotting</li><li>Fehleranalyse &amp; Korrektur</li><li>Psychologische Grundlagen im Umgang mit Teilnehmern</li></ul>","wix:image://v1/3efc9f_10b5174d14114fbe9b3309291ae75f5c~mv2.png/Grundlagen%20600x600.tif#originWidth=600&originHeight=600",,,2023-10-21T12:58:59Z,,"495489c1-91f4-40f0-a218-455243a8e80f",2023-11-19T08:49:03Z,,,true,,,"/workshop/","/event/crazypole-instructor-f%C3%BCr-'grundlagen'"
"Selinas Pole Essentials Online Workshop","Workshop",,"2023-12-19","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/YxsVIs4","18:30 - 20:00 Uhr",,"Advanced","ab 44,00 €",,"Pole Tricks & Technik","<p class=""font_8"">In diesem Workshop zeige ich dir meine allerliebsten, aktuellen und wichtigen Pole Grundlagen Tricks, die sich für Combos eignen. Die Tricks sind meistens einem Level 2-3 Niveau zuzuordnen. Ich zeige dir unterschiedliche Tricks mit unterschiedlichen Varianten und Schwierigkeitsstufen, damit du Figur deinem Leistungsniveau anpassen kannst.</p>","<p class=""font_7"">Selina</p>",,"14d3a173-6611-40bb-beba-022dd23765ed","Online","Online",,,,,,2023-09-26T15:05:55Z,,"4a5b2f64-4150-4a0f-9b45-5ef1be036919",2023-10-17T16:37:26Z,,,,,,"/workshop/","/event/selinas-pole-essentials-online-workshop"
"Aerial Loops Workshop","Workshop",,"2024-01-13","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/5Qka0Ok","13:00 - 14:30 Uhr",,"Intermediate","ab 35,00 €",,"Aerial Art (no pole)","<p class=""font_8"">Aerial Loops oder auch Straps Loops genannt sind eine relativ neue Form der Luftakrobatik. Was ist das? 2 lange Schlaufen, die von der Decke hängen - wie Loops. </p>","<p class=""font_8"">Joana</p>",,"caeb8b6e-1459-428f-ba21-d6fa39cd2052","Aachen","Deutschland",,,,,,2023-12-03T19:12:32Z,,"4b63abe6-7273-42eb-ad5a-f1848369188c",2023-12-03T19:13:03Z,,,,,,"/workshop/","/event/aerial-loops-workshop"
"GIRL VIKING POLE RETREATS Croatia","Pole Camp",true,"2023-09-12","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.keturahpoleretreat.com/croatia",,"2023-09-16",,"ab £400",,,"<p>The second edition of Croatia Pole Camp The Island!</p><p>Workshops with three leading pole artists Imogen Gunter, Heidi Heidi Hildersley &amp; Hannah Rose</p><p>​</p><p>If you want to take your training to the next level whether you are a intermediate to advanced this retreat is for you!</p><p>Based on the beautiful island Uglijan Kali.</p><p> </p><p>Arrival on Tuesday 12th Sept  - welcome meeting and dinner at 19.30<br/><br/>Wednesday/ Thursday / Friday will include full training for each group. Saturday home time.<br/><br/>You will either have the morning or afternoon to explore or relax, there will be one whole day off.</p><p>Uglijan island has paddle boarding, kayaking, bike hirer available also island hopping!</p><p>​</p><p>Some islands you can walk to if you don’t mind getting wet! or you can hire a boat for the day to see the others, one is the shape of a love heart ❤️</p><p>​</p><p>Yoga &amp; Meditation will take place on one of these tiny islands and our boot camp session on the beach!</p><p>​</p><p>Zadar is mainland where the pole workshops will take place at a beautiful pole studio “ I- Studio”</p><p>​</p><p>For our pole workshops we will take a 10 min walk to the port from our apartments then a 20 min ferry crossing to main land Zadar where the studio is based. You can hire a bike which is fun to do for the day, you can hire from the island and take on the ferry with you.</p><p>Zadar is very small town Uber is handy costing literally £2 per journey!! All info will be given on arrival and 2 months before via WhatsApp group, I will make sure you are taken good care of.</p><p>​</p><p>Zadar is full of life with stunning views, clubs, cocktail bars, tourist attractions so maybe after the workshops you can venture out, or head back to peace and tranquil on the island.</p><p> </p><p><span style=""font-weight:bold"">COST</span></p><p>Package 1 - Full retreat, accommodation, 8 hrs full training, pole, boot camp, breakfast and entry to competitions. <span style=""font-weight:bold"">£650</span></p><p>​</p><p>Package 2 - 8hrs training, entry to competitions <span style=""font-weight:bold"">£400</span> (you have to organise your own accommodation)</p><p>​</p><p>Non-refundable deposit of £150 required to secure your place.</p><p>Instalments or full payments are available.</p><p>​</p><p>For workshops only please email <span style=""text-decoration:underline""><a href=http://mailto:ninavanns@yahoo.co.uk target=undefined>ninavanns@yahoo.co.uk</a></span></p>","<p>Heidi Hildersley</p><p>Imogen Gunter</p><p>Hannah Rose Kaynes<br/></p><p> </p>",,,"Kroatien","Kroatien","The second edition of Croatia Pole Camp The Island!     Workshops with three leading pole artists Imogen Gunter, Heidi Heidi Hildersley & Hannah Rose  ​  If you want to take your training to the next level whether you are a intermediate to advanced this retreat is for you!   Based on the beautiful island Uglijan Kali.",,,,,2022-12-02T17:45:43Z,,"4b9695bd-3cd0-4a3d-bb4c-78c89832e66b",2023-09-17T16:45:38Z,,,true,,,"/workshop/","/event/girl-viking-pole-retreats-croatia"
"Chakra Dance * Yoga & Pole Spirit Day","Workshop",,"2023-12-09","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/jutZ5EL","14:30 - 15:30 Uhr",,"Alle Level","ab 49,00 €",,"Akrobatik (no pole)","<p class=""font_8"">Chakra Dance * Yoga & Pole Spirit Day</p>","<p class=""font_8"">Yoga Individual</p>",,"caeb8b6e-1459-428f-ba21-d6fa39cd2052","Aachen","Deutschland",,,,,,2023-12-03T19:12:32Z,,"4dca7bdd-7ebd-4e83-b1c5-5c11bb1e0238",2023-12-03T19:16:38Z,,,,,,"/workshop/","/event/chakra-dance-*-yoga-%26-pole-spirit-day"
"Pole camp Sardinia 2023","Pole Camp",true,"2023-04-16","284241e1-0e53-4183-b67f-34edcfb7c8b1",,,"2023-04-22",,"ab 1795 €",,,"<h2>Dates and location</h2><p>16 Apr 2023, 18:30 – 22 Apr 2023, 12:30</p><p>Galanias Hotel &amp; Retreat, Via Belvedere, 2, 08042 Bari Sardo NU, Italie</p><h2>About the pole camp</h2><p>Groups for all levels: beginners, intermediates, advanced</p><p><span style=""font-weight:bold"">​</span></p><p><span style=""text-decoration:underline""><span style=""font-weight:bold"">What is included:</span></span></p><ul><li>6 nights in typical Sardinian-style rooms (4-stars hotel!)</li><li>Half board (breakfasts and dinners) at our delightful restaurant, which has an indoor room and an outdoor terrace by the pool, ideal for pleasant evenings and sweet awakenings</li><li>15h of workshops</li><li>Pole access when not used</li><li>Swimming pool access</li><li>1 photo shoot in a beautiful location (for souvenirs)</li><li>1 mini cruise : a great excursion to discover the coast of Ogliastra, the gulf of Orosei where the famous Cala Goloritze appears in all its plendor, Cala Mariolu and swim in the beautiful turquoise water.</li><li>1 Sardinian evening: a traditional Sardinian dinner, served on the terrace by the panoramic swimming pool</li><li>Some goodies and surprises !!</li></ul><p>If you want to train even more, optional workshops will also be planned (extra cost).</p><p>​</p><p>Non polers are also welcome as it is a beautiful place to discover and there are many options for them (and you during your free time): visit a village, go trekking, bike, enjoy the beach, have a massage, visit a local winery, go diving… you can also ask for yoga classes :)</p><p><span style=""text-decoration:underline""><span style=""font-weight:bold"">The location:</span></span></p><p>The hotel stands where nature and the sea have created a scenery of pristine beauty.</p><p>The hotel has a garden and a scenic swimming pool surrounded by olive trees, palms and Mediterranean plants.</p><p>The design is in typical Sardinian style, traditional and refined, with furniture and upholstery fabrics carefully made by the skilled hands of the artisans of Ogliastra.</p><p>There is also a fully equipped bar and a nice restaurant, which offers, in addition to the national cuisine, flavorful traditional dishes made with local products.</p><p>Everything is at the same place so that you can fully dedicate your time to pole dancing, relaxing, visiting and having fun. Plus, you can reach the beautiful beach by walk in a few minutes and enjoy its beauty.</p><p>How to come?</p><p>To come, you can take a plane to Cagliari or Olbia airport. We will organize one transfer on the Sunday around 3:00pm at the cost of 50€. It takes around 1h30 to join from Cagliari and 2h from Olbia. For the way back I will organize it around 12:00. So I recommend you to take a plane from 6:00pm to be sure.</p><p>It is also possible to come by boat from France or Italia with Corsica Ferries. Make sure to arrange with someone who has a car from there, we can help for this.</p><p><span style=""text-decoration:underline""><span style=""font-weight:bold"">Our instructors:</span></span></p><p>You will have three different teachers, to allow you to learn a variety of techniques.</p><p>Soon completed</p><p><span style=""text-decoration:underline""><span style=""font-weight:bold"">The workshops:</span></span></p><p>We have customized for you a program of pole dance workshops and activities with 3 great pole instructors. We have written below the workshops, of course they will be adapted according to your levels.</p><p> </p>","<p class=""font_8"">You will have three different teachers, to allow you to learn a variety of techniques.</p>
<p class=""font_8"">Soon completed</p>","Fantastic Pole & Sea Camp",,"Sardinien",,"Discover the unique charm of this island!  An oasis of peace where you will pole dance every day and discover the beauty of its beaches and cliffs!",,,,,2022-12-02T16:55:42Z,,"50d28ae2-22fb-429e-9a11-bc28dbd12a0d",2023-08-25T14:17:19Z,,,true,,,"/workshop/","/event/pole-camp-sardinia-2023"
"EXOTIC POLE I ab Level 2","Workshop",,"2024-01-14","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/Zp9bPAd","13:45 - 15:15 Uhr",,"Intermediate","ab 35,00 €",,"Pole & Heels",,"<p class=""font_8"">Vera G.</p>",,"b8eec855-a63b-4840-b4c0-29c9e482b3bf","Oberpfalz","Deutschland",,,,,,2023-10-29T11:34:25Z,,"518e6216-042a-4b07-b4fa-d23fb36ed650",2023-11-01T14:02:04Z,,,,,,"/workshop/","/event/exotic-pole-i-ab-level-2"
"Fierce Flow Bali","Pole Camp",,"2024-09-15","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://indipoledance.com/baliretreat/",,"2024-09-21","Alle Level","2.699 €",,,"<p class=""font_8"">Come &amp; dance in tropical paradise on our Bali Retreat!</p>
<p class=""font_8""><strong>Jazzy K &amp; Daphne Lux</strong></p>
<p class=""font_8""><strong>15-21 Sept 2024</strong></p>
<p class=""font_8"">Seminyak, Bali</p>
<p class=""font_8""><em>This Retreat is for women and non-binary dancers.</em></p>
<p class=""font_8"">Level up your dance skills, relax, play &amp; explore on this 7 day/6 night pole-cation!</p>
<p class=""font_8"">Leave your stress at the door as you step into tropical paradise. Connect with like-minded women and gender diverse dancers from all over the world — an experience you’ll never forget.</p>
<p class=""font_8"">Villa accommodation, 3 swimming pools, chef, masseur, driver &amp; a beautiful air conditioned studio for your pole workshops. Let us take care of every detail so you can relax &amp; enjoy the magic of Bali.</p>
<p class=""font_8""><em>We are an Australian-based company &amp; have hosted more than 500 dancers &amp; 30 Retreats around the world since 2016, making us the most experienced pole Retreat provider in the world! You can trust that we’ll provide a seamless, unforgettable &amp; worry free experience.</em></p>","<ul class=""font_8"">
  <li><p class=""font_8""><strong>Jazzy K</strong></p></li>
  <li><p class=""font_8""><strong>Daphne Lux</strong></p></li>
</ul>","Indipole Retreat",,"Bali","Indonesien",,,,,,2023-11-19T09:19:38Z,,"51c19c94-9553-4c81-8173-f6e7a1f22327",2023-11-19T09:20:42Z,,,,,,"/workshop/","/event/fierce-flow-bali"
"POLE INVERTS I Get up side down","Workshop",,"2024-02-04","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/AL0d8uV","16:00 - 17:30 Uhr",,,"ab 35,00 €",,"Pole Tricks & Technik",,"<p class=""font_8"">Silke</p>",,"b8eec855-a63b-4840-b4c0-29c9e482b3bf","Oberpfalz","Deutschland",,,,,,2023-12-03T19:12:32Z,,"533accc7-f69c-4179-ad3a-54712d303320",2023-12-03T19:15:54Z,,,,,,"/workshop/","/event/pole-inverts-i-get-up-side-down"
"Phuket Instructor Training Camp","Pole Camp",true,"2023-11-28","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.ecoledepole.com.au/product/phuket-instructor-training-camp/",,"2023-12-02",,"ab 1,889 $",,,"<h3 class=""font_3"">Phuket Instructor Training Camp</h3>
<ul class=""font_8"">
  <li><p class=""font_8"">Complete all three certificates of the internationally accredited Ecole de Pole Master Training Series over 5 days (Beginner, Intermediate, Advanced). Click <a href=""https://www.ecoledepole.com.au/oldsite/facetofacecourses/""><strong>here</strong></a> for course content</p></li>
  <li><p class=""font_8"">26 hours training/ theory &amp; practical sessions over 5 days.</p></li>
  <li><p class=""font_8"">Tutorials start approx 12-1pm on Day 1 and finish approx 11:30am on Day 5 so you can depart and checkout from the hotel by approx 12pm.</p></li>
  <li><p class=""font_8"">Welcome bag &amp; detailed Welcome Pack included</p></li>
  <li><p class=""font_8"">15% off at the resort’s Cradle restaurant and juice bar for all participants</p></li>
  <li><p class=""font_8"">Small group – only 16 enrolments accepted.</p></li>
  <li><p class=""font_8"">Partners/friends/ mum’s welcome as non polers.</p></li>
  <li><p class=""font_8"">All participants can use all hotel facilities including the infinity pool!</p></li>
</ul>
<h3 class=""font_3"">Hotel Packages include:</h3>
<ul class=""font_8"">
  <li><p class=""font_8"">4 nights accommodation (click Prices &amp; Bookings to see room choices). Book additional nights direct with the hotel for a discounted pole retreat rate if you wish to arrive the day before, or stay an extra day.</p></li>
  <li><p class=""font_8"">Airport transfers</p></li>
  <li><p class=""font_8"">Welcome drink and cold towel on arrival</p></li>
  <li><p class=""font_8"">Breakfast daily (a la carte &amp; incredible buffet, including champagne breakfast every day if you wish!)</p></li>
  <li><p class=""font_8"">Luxury Ratana Spa treatment at the hotel (60mins)</p></li>
</ul>","<ul class=""font_8"">
  <li><p class=""font_8""><strong>Meg the Supernova</strong></p></li>
  <li><p class=""font_8""><strong>Blue Phoenix</strong></p></li>
  <li><p class=""font_8""><strong>Justine Mclucas</strong></p></li>
</ul>","Ecole de Pole",,"Phuket","Thailand","All prices below are Earlybird – available for a limited time only!",,,,,2023-08-25T13:50:04Z,,"53c2168d-d8ca-4c62-90f4-628d222bb85b",2023-12-03T18:22:43Z,,,true,,,"/workshop/","/event/phuket-instructor-training-camp"
"HANDSTAND Vorbereitung","Workshop",,"2024-02-25","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/s-CvYfY","10:30 - 12:00 Uhr",,"Alle Level","ab 35,00 €",,"Akrobatik (no pole)","<p class=""font_8"">Den Handstand zu erlernen bringt Dir viele Benefits für Deinen Körper und auch für Deinen Geist! </p>","<p class=""font_8"">Renate</p>",,"b8eec855-a63b-4840-b4c0-29c9e482b3bf","Oberpfalz","Deutschland",,,,,,2023-10-29T11:34:25Z,,"541f4650-00f1-4f56-848e-c4ce445c7c0d",2023-11-01T14:02:04Z,"<p class=""font_8"">Examinierte Krankenschwester
Pilatestrainerin 
ärztlich geprüfte Yogalehrerin und zertifizierte Tri Yoga - Lehrerin (Basic - Level 3) 
Anti-Graviyt-Instructor
Slingtrainerin
Aerobic B-Lizenz
Tanzpädagogin
Dance-Aerobic-Instructor 
Pole Fitness X-Pert Level 1-4
Spinning Pole X-Pert
Acro Yoga Instructor
Ausbildung in Yogatherapie</p>",,,,,"/workshop/","/event/handstand-vorbereitung"
"Exotic Dance mit Becky* ONLINE","Workshop",,"2023-12-09","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/_hdwxf3","14:30 - 16:30 Uhr",,"Alle Level","ab 40,00 €",,"Pole & Heels","<p class=""font_8"">Exotic Dance mit Becky</p>","<p class=""font_8"">Becky</p>",,"aff95b8f-66f1-49f0-997e-ff70484a05c7","Berlin","Deutschland",,,,,,2023-12-03T19:12:33Z,,"54dafd7d-5ddc-4f17-b894-7f1385dfcc30",2023-12-03T19:16:38Z,,,,,,"/workshop/","/event/exotic-dance-mit-becky*-online"
"Bali Art of Static","Pole Camp",true,"2023-09-24","284241e1-0e53-4183-b67f-34edcfb7c8b1","http://indipoledance.com/baliretreat/",,"2023-09-30",,"799 € - 2399 €",,,"<p><span style=""font-weight:bold""><span style=""font-style:italic"">What’s special about this Retreat? </span></span>This Retreat is all about static pole flow. On this Retreat you’ll explore &amp; become friends with (or master) static rotation. You’ll improve your static movement vocabulary with two of the most original &amp; creative static movers in the world.</p><p><span style=""font-weight:bold""><span style=""font-style:italic"">Who are your instructors? </span></span>Marlo Fisken (USA) &amp; Yvonne Smink (Netherlands) are two of the most inspiring pole artists &amp; instructors in the industry. Their expertise in static flow &amp; static rotation is unmatched, &amp; you’ll benefit from their unique &amp; creative approach to movement, as well as their dedication to teaching. Find <span style=""text-decoration:underline""><a href=https://www.instagram.com/marlofisken/ target=undefined>Marlo</a></span> &amp; <span style=""text-decoration:underline""><a href=https://www.instagram.com/yvonnesmink/ target=undefined>Yvonne</a></span> on IG.</p><p><span style=""font-weight:bold""><span style=""font-style:italic"">What will you learn on the Retreat? </span></span>You’ll learn a variety of skills &amp; combinations on static pole, at the base &amp; in the air. You’ll also explore &amp; create your own flows guided by the in-depth instruction &amp; creative approach Marlo &amp; Yvonne are known for.  Take your static pole skills to the next level &amp; harness your own creativity.</p><p><span style=""font-weight:bold""><span style=""font-style:italic"">Who is the Retreat suitable for? </span></span>The Art of Static Retreat is suitable for you if you can invert (straddle) &amp; have your outside leg hang. Some experience with static pole is encouraged. This is a non-heels Retreat.</p>","<p class=""font_8"">Marlo Fisken (USA) &amp; Yvonne Smink (Netherlands)</p>","indipoeldance",,"Bali","Bali","The ART OF STATIC is all about static pole flow. On this Retreat you’ll understand & become besties with static rotation & improve your movement vocabulary with two of the most original & creative static movers in the world.",,,,,2023-01-20T17:15:15Z,,"54fe82a7-a9a7-4f28-b12e-0501f456fafb",2023-10-08T09:40:39Z,,,true,,,"/workshop/","/event/bali-art-of-static"
